stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,10,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,3,17,0,0,0,0,0,9,4,0,3,81,0,2,0,0
 24-34,0,0,0,6.57,0.82,0.82,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0.82,19.7,0.82,0.82,3.28,33.66,0.82,0,0,0,0,0,1.64,0,1.64,117.38,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,2.42,0,0,0,1.61,0,0,1.61,0,0,0,0,0,12.09,0,3.22,0.81,28.2,0,0.81,0,0,0.81,0,0,0,0,143.41,0,0.81,0,0
 48-58,0,0,0,0.57,0,10.9,0,0,0,7.46,0,0,0.57,0,0,0,0,0,4.59,1.15,0.57,1.15,64.84,0.57,0,0,0,1.15,0,0,0.57,0,195.09,0,0.57,0,0
 60-70,0,0,0,0.98,0,51.04,0,0,0,2.94,0,0,0,0,0,0,0,0,9.82,0.98,0,0,114.84,0,0,0,0,0,0,0,0,0,194.34,0.98,0,0,0
 72-82,0,0.98,0,0.98,0,91.29,0.98,0,0,4.91,0,0,0,0,0,0,0,0,10.8,0.98,0,0,146.27,0,1.96,0,0,0,0,0,0,0,130.56,0,0,0,0
 84-94,0,0,0,2.12,0,54.16,0,0,1.06,5.31,0,0,1.06,0,0,1.06,0,0,6.37,1.06,1.06,0,87.09,0,0,0,1.06,0,0,2.12,0,0,78.59,0,0,1.06,1.06
 96-106,0,0,0,3.28,0,76.5,0,0,0,3.28,0,0,0,0,1.09,0,0,2.19,7.65,0,0,0,78.68,0,0,0,0,1.09,0,2.19,0,0,43.71,2.19,0,2.19,0
108-118,0,0,0,2.3,0,53.62,0,0.77,0.77,6.89,0.77,0,0,0,0.77,0,0.77,0,4.6,0,0.77,0.77,77.36,0,0,0,0,0,0,0.77,0,0,28.34,0,0.77,0,0
120,0,0,0,0,0,70.55,0,0,1.96,3.92,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,78.39,0,0,0,0,0,0,1.96,0,0,60.75,1.96,0,1.96,0
