stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,34,7,0,3,0,0,0,1,1,2,1,6,12,0,0,0,0,10,1,0,2,8,11,0,1,5,0,8,0,18,2,1,4,15,0,0,6,0,0
 24-34,0.82,2.46,19.7,1.64,0,1.64,0,5.75,1.64,1.64,1.64,0.82,1.64,13.13,15.6,0,0,0.82,0.82,18.88,4.93,0,5.75,31.19,3.28,4.1,2.46,0,0,43.51,0,0,4.1,0,1.64,10.67,0,0,25.45,0,0
 36-46,0.81,0,15.31,0.81,0,2.42,0,5.64,2.42,2.42,2.42,0,4.83,21.75,8.86,0,4.83,0,0.81,38.67,0,1.61,8.06,29.81,2.42,6.45,0.81,0,0,46.73,0.81,0,0.81,0,0,9.67,0,0,18.53,0,6.45
 48-58,0,0,13.77,0.57,0,11.48,0,5.16,7.46,4.59,0,2.3,2.3,18.94,4.02,0,4.59,0,1.15,45.9,3.44,0.57,9.18,26.97,0.57,5.16,1.72,0,0,50.49,0,0,0.57,0,0,6.89,0,0.57,23.53,0,8.03
 60-70,0.98,0,21.59,1.96,0,11.78,0.98,11.78,9.82,7.85,2.94,0.98,2.94,26.5,4.91,1.96,2.94,0.98,3.93,141.34,3.93,2.94,9.82,29.45,0.98,10.8,0,0,0.98,55.95,0,0,1.96,0,0,8.83,0.98,6.87,19.63,0.98,10.8
 72-82,0.98,1.96,34.36,9.82,0,21.6,0.98,8.83,15.71,12.76,12.76,1.96,4.91,51.05,9.82,3.93,10.8,1.96,1.96,226.76,4.91,10.8,34.36,37.3,0,15.71,3.93,0,4.91,70.68,0,0,2.94,0,0,7.85,2.94,7.85,46.14,7.85,7.85
 84-94,3.19,0,56.29,11.68,0,18.05,0,12.74,9.56,11.68,15.93,3.19,5.31,70.09,16.99,5.31,3.19,2.12,5.31,151.87,9.56,9.56,12.74,33.99,2.12,11.68,5.31,0,3.19,196.48,0,0,3.19,0,0,4.25,6.37,5.31,50.98,3.19,6.37
 96-106,4.37,0,84.15,9.84,0,26.23,0,26.23,13.11,14.21,20.76,0,10.93,91.8,25.14,3.28,6.56,5.46,2.19,217.48,10.93,16.39,15.3,59.01,1.09,25.14,6.56,0,9.84,201.08,0,0,4.37,0,0,0,13.11,8.74,56.83,7.65,16.39
108-118,3.83,1.53,106.47,7.66,0.77,15.32,0,29.87,13.02,15.32,28.34,0,6.89,98.04,17.62,9.96,7.66,9.19,2.3,198.38,9.96,13.02,15.32,48.26,2.3,14.55,3.83,0,10.72,134.81,0,0,5.36,0.77,0,5.36,18.38,5.36,49.79,2.3,6.89
120,1.96,0,76.43,5.88,0,7.84,0,19.6,3.92,13.72,25.48,0,7.84,72.51,3.92,1.96,9.8,7.84,1.96,178.34,0,5.88,9.8,31.36,1.96,15.68,5.88,0,1.96,139.14,0,0,3.92,0,0,1.96,9.8,7.84,35.28,5.88,3.92
