stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,735.56,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,10.51,0,0,0,10.51,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,197.15,2.63,0,0,89.38,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,31.47,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,122.73,0,0,0,44.06,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,1,0,7,0,0,0,1,31,0,6,0,0,0,0,0,3,0,1,31,1,0,6,0,10,0,2,1,0,2,3,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,1.64,0,0,0,0,13.95,0.82,15.6,0,3.28,0,0,2.46,2.46,0,2.46,35.3,0,0.82,37.76,0,6.57,0,0,0,0,2.46,4.1,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,2.42,0,0,1.61,0,3.22,0,4.83,0,4.03,0,0,3.22,5.64,0,2.42,58.81,0,0,24.98,0,6.45,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,9.75,0,0,3.44,0,5.16,0,2.87,0,6.31,0,0.57,6.31,4.59,0.57,1.72,84.35,0,0.57,21.8,0,5.16,0,0,0,0,0,5.74,0,0.57,1.15,0,0
 60-70,0,0,0,0,5.89,0.98,0,19.63,0.98,0,2.94,0.98,4.91,1.96,4.91,0,14.72,0,0.98,14.72,1.96,0,0,99.13,0,1.96,31.41,0,5.89,0,0,0,0,0,5.89,0,0,2.94,0,0
 72-82,0,0,0,0,4.91,1.96,0,34.36,0,0,9.82,1.96,2.94,0.98,5.89,0.98,27.49,0,0,31.41,2.94,1.96,4.91,107.98,0.98,0.98,64.79,0,10.8,0,0,0.98,0,0,0.98,0,0,4.91,1.96,1.96
 84-94,0,0,1.06,0,15.93,1.06,0,22.3,4.25,0,4.25,5.31,0,1.06,7.43,1.06,39.3,1.06,0,9.56,3.19,1.06,1.06,43.54,0,0,60.54,0,31.86,0,0,0,0,0,4.25,0,0,0,2.12,0
 96-106,0,0,3.28,0,20.76,7.65,2.19,33.88,4.37,2.19,15.3,3.28,1.09,4.37,8.74,2.19,72.13,3.28,0,32.79,3.28,1.09,5.46,56.83,0,7.65,86.33,0,25.14,0,0,1.09,1.09,0,2.19,0,0,5.46,2.19,0
108-118,0,0,0,0,14.55,5.36,1.53,24.51,0.77,0,8.43,5.36,0,2.3,3.06,0,40.6,2.3,0.77,16.85,3.06,3.83,0.77,90.38,1.53,2.3,60.51,0,27.57,0,0,0,0,0,0.77,1.53,0,2.3,1.53,0
120,0,0,0,0,23.52,3.92,0,21.56,0,1.96,9.8,1.96,0,5.88,3.92,3.92,41.16,0,0,29.4,3.92,0,3.92,97.99,0,0,64.67,0,9.8,0,0,0,0,0,3.92,0,1.96,1.96,3.92,0
