stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,32,0,0,0,0,0
 24-34,0.82,0,0,3.28,0,0,0,0,0,0,0,0,2.46,0,0.82,137.08,0,1.64,0,0,0.82,0,58.28,0,0,0,0,0.82
 36-46,0,0,0,3.22,0,0,0,0,0,0,0,1.61,0,0,0,255.4,0,0,0,0,0.81,0,72.51,0,0,0.81,0,0
 48-58,0,1.72,0,13.2,0,4.02,0,0,0.57,0,0,0.57,1.15,0,0,351.74,0,0.57,0,0,0.57,0,64.27,0,0,0.57,0,3.44
 60-70,0,1.96,0,38.28,0,8.83,0,0,0,0,0,1.96,2.94,0,0,580.08,0,0,0.98,0,1.96,0,76.56,0,0,0.98,0,5.89
 72-82,3.93,2.94,0,78.53,0,11.78,1.96,0.98,0,0,0,0.98,6.87,0.98,0.98,568.38,0,1.96,0.98,0,0,0,71.66,0.98,0,0,0,1.96
 84-94,1.06,7.43,0,62.66,0,8.5,2.12,0,0,1.06,0,0,6.37,0,0,335.6,2.12,0,1.06,0,4.25,0,32.92,0,1.06,0,1.06,3.19
 96-106,3.28,4.37,1.09,44.81,1.09,10.93,4.37,0,1.09,0,1.09,0,4.37,0,0,275.4,0,0,2.19,1.09,0,0,12.02,0,0,1.09,0,3.28
108-118,0.77,2.3,0,45.19,0.77,7.66,0,0.77,0,3.83,0,0,3.06,0,0.77,317.11,0.77,1.53,3.06,0,2.3,0,9.96,1.53,0,0,0,2.3
120,3.92,3.92,0,47.03,0,19.6,1.96,0,0,3.92,0,0,3.92,0,0,376.28,0,0,3.92,0,0,1.96,13.72,0,0,0,0,1.96
