stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,gut,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,44.69,2.63,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,5,0,0,1,0,0,6,0,1,2,1,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,2.46,0,0,0.82,0,2.46,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,2.42,0,0,0.81,0,1.61,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,1.72,0,0,0,0,0,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,3.93,0,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,0,0,1.09,1.09,0,2.19,3.28,1.09,2.19,0,1.09,0,1.09,2.19,0,6.56,0,0,0,0,0,0
108-118,0,0,0.77,0,3.06,0,0.77,3.06,3.06,1.53,0,0,0,0,0,0,0.77,0.77,0.77,0,3.83,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
