stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,527.15,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,12.26,0,0,0,12.26,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,34.17,0,0,0,31.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,6.29,0,0,0,15.73,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,4,3,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,11.49,1.64,0.82,0,0,0.82,0,0,5.75,0.82,0,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,0.81,0.81,12.89,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,6.31,0,0,1.72,0,0,0,0,0,0,1.72,1.15,15.49,0,0,0,0,0.57,0.57,0,2.87,0.57,0,0.57
 60-70,0,0,0,0,0.98,7.85,0,0.98,1.96,0,0,0.98,0.98,0,0,0.98,0.98,23.56,0,0,0.98,0,0.98,0,0,3.93,0,0,0
 72-82,0,0,0,0.98,0,2.94,0.98,0,0.98,0.98,0,0,0,0,0,8.83,0,13.74,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,0,2.12,0,1.06,6.37,1.06,0,0,1.06,0,0,5.31,2.12,7.43,0,1.06,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,3.28,0,0,1.09,1.09,0,1.09,0,0,0,7.65,0,6.56,0,1.09,1.09,0,1.09,0,0,0,0,2.19,0
108-118,0,0,0,0.77,0,3.06,0,0,1.53,0.77,0,0,0,0.77,0.77,3.06,0,6.13,0,0.77,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,1.96,9.8,0,0,0,0,1.96,0,0,0,0,0,0
