stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1937.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,85.81,1005.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,49.95,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,439,7.89,0,0,126.18,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,22.03,0,3.15,44.06,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,402.81,15.73,0,0,122.73,0,0,12.59,0,22.03,0,3.15,0,0,0,0
 14-21,0,0,0,5,44,7,27,0,0,0,14,4,0,0,0,2,0,1,0,0,27,0,0,20,411,10,1,6,16,0,23,1,18,1,22,116,0,0,0,0
 24-34,0,0,0,1.64,18.88,2.46,91.12,0,0,0,13.95,1.64,0,2.46,0,2.46,2.46,0,0.82,0,54.18,0.82,2.46,22.98,564.75,2.46,4.1,5.75,0.82,0,26.27,0,0.82,0,4.93,120.67,0,11.49,0,0.82
 36-46,0,0,0,0,12.89,2.42,100.71,0,0.81,0.81,11.28,0.81,0,0,0,0,0,0.81,0.81,0,45.92,0,0.81,12.89,257.81,4.03,0,1.61,0,0,10.47,0,0,0.81,0,61.23,0.81,10.47,0,0
 48-58,0,0,0,0,8.61,0.57,97.55,0.57,0.57,0,16.64,0.57,0,0.57,1.15,0.57,0,0.57,0,0,52.22,0.57,2.87,9.75,95.83,0,0.57,2.87,0,0,3.44,0,0,0,0,18.94,0,5.16,0,1.72
 60-70,0.98,0,0,0,8.83,0,55.95,0,0,0,15.7,0.98,0,0,0,0,0,1.96,0.98,0,37.3,0,1.96,2.94,58.89,0,1.96,3.93,0,1.96,1.96,0,0,0,0,4.91,0,2.94,0,0
 72-82,0,0,0,0,10.8,0,26.5,0,0.98,1.96,16.69,0.98,0,0.98,1.96,2.94,0.98,0,0.98,0,41.23,0.98,0.98,6.87,50.06,0,0.98,2.94,0,0,0.98,0,0,0,0,2.94,0,3.93,0,0.98
 84-94,0,0,1.06,0,9.56,2.12,24.43,0,0,3.19,15.93,0,0,1.06,4.25,0,0,0,2.12,0,50.98,0,2.12,10.62,43.54,1.06,2.12,8.5,0,0,8.5,0,0,1.06,0,0,0,3.19,0,0
 96-106,0,0,0,0,9.84,0,25.14,0,0,1.09,14.21,3.28,0,3.28,3.28,0,2.19,3.28,2.19,1.09,42.62,1.09,5.46,2.19,29.51,0,2.19,9.84,0,0,10.93,2.19,0,0,0,1.09,0,10.93,0,0
108-118,0,0,0,0,12.26,3.83,15.32,0,0,3.06,14.55,2.3,0,0.77,3.06,1.53,0.77,0,3.06,0.77,28.34,0.77,1.53,5.36,48.26,0,0,4.6,0,0,3.06,0,0,0,0,0,0,3.83,0.77,0
120,0,0,0,0,1.96,9.8,27.44,0,1.96,1.96,21.56,1.96,0,0,5.88,0,0,0,1.96,0,19.6,0,0,3.92,50.95,0,1.96,0,0,0,5.88,0,0,0,0,1.96,1.96,5.88,1.96,0
