stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,neural,olfactory,periderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,13.14,0,0,0
 14-21,0,2,1,1,0,0,0,1,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,4.1,0.82,1.64,0.82
 36-46,0,0,0,1.61,0.81,0,0,0,2.42,0,0,1.61
 48-58,0,0,0,1.15,0,0.57,0,1.72,3.44,0.57,0,1.15
 60-70,0,0,0,5.89,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,1.96,0,0,2.94
 96-106,0,0,0,0,0,1.09,0,0,2.19,0,1.09,0
108-118,0,2.3,0,0.77,0,0.77,0.77,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0
