stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
 24-34,0,2.46,2.46,0.82,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0.81,10.47,0,0,0.81,1.61,0,0
 48-58,0,0,5.74,0,0,0,0,0.57,1.15,0,0,18.36,1.15,0.57,0,1.15,0,0
 60-70,0,0,1.96,0,1.96,0,0.98,0.98,0.98,0,0.98,10.8,0.98,0.98,0,2.94,0,0
 72-82,0,0,10.8,0,0,0,0,0.98,0,0.98,0,26.5,0,0.98,0,0.98,0,0
 84-94,0,1.06,2.12,0,1.06,0,0,0,0,0,1.06,11.68,5.31,1.06,0,1.06,0,0
 96-106,0,2.19,3.28,0,0,1.09,0,3.28,0,0,0,14.21,1.09,2.19,0,0,0,0
108-118,0,1.53,1.53,0,1.53,0,0,0,1.53,0,0.77,11.49,0.77,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0,0
