stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
 14-21,1,1,5,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,8.21,0,0,0,0,0,0,40.22,0,0,0,0.82,0,0,1.64,0,0,0,0,0.82,7.39
 36-46,0,0.81,0.81,0.81,0,0,0,0,0,53.17,0,0,0,0.81,0,0,3.22,0,0,0,0,0,7.25
 48-58,0,0,0,0,0,0,0,0,0,50.49,0,0.57,0.57,1.15,0,0,5.16,0,0,0,0,0.57,6.89
 60-70,0,0,2.94,2.94,0,0,0,0,0,67.73,0,0,0,5.89,0,0,8.83,0.98,0,0,0,0.98,6.87
 72-82,0,0.98,7.85,3.93,0.98,0,0.98,0,0.98,119.76,0,0,0,3.93,0,0,8.83,0.98,0.98,0,0.98,0,22.58
 84-94,0,1.06,5.31,2.12,0,1.06,1.06,0,0,148.69,0,0,1.06,3.19,0,0,3.19,0,1.06,0,0,0,9.56
 96-106,0,2.19,5.46,2.19,0,0,1.09,1.09,0,196.71,1.09,1.09,2.19,2.19,1.09,0,4.37,0,0,0,0,0,27.32
108-118,0,1.53,7.66,3.06,0,0,0.77,2.3,0.77,152.43,0,0,0,2.3,0,0.77,3.06,0,0,0,0.77,0,19.15
120,0,1.96,5.88,1.96,0,0,1.96,0,0,162.66,1.96,1.96,0,0,0,0,1.96,0,3.92,0,0,0,17.64
