stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,882.67,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,10.51,0,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,191.9,5.26,0,0,57.83,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,18.88,0,3.15,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,169.94,22.03,0,0,50.35,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,12,4,0,5,0,0,1,0,0,0,0,2,0,0,1,0,3,0,0,5,56,2,0,1,0,0,2,5,0,1,6,22,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0.82,0,11.49,0.82,0,1.64,0.82,0,0.82,0,0,0,0,0,0,12.31,0,0,5.75,105.07,0.82,0,0.82,0,0,27.09,0,0,0,2.46,27.09,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,0,26.59,0.81,1.61,2.42,0,0,0,0,0,0,0,0,1.61,7.25,0,0.81,1.61,128.1,0.81,2.42,0,0,0,14.5,0,0,0,0,35.45,0,0,3.22,0,0
 48-58,0,0,0,0,1.15,0,0,28.69,0,0,5.74,0,0,0,0,0,0.57,0,0,0,16.64,0,1.15,2.87,75.74,1.15,1.72,1.15,0,0,6.89,0,0.57,0,0,22.38,0,0,1.15,0,1.72
 60-70,0,0,0,0,2.94,1.96,0,48.09,0.98,0,2.94,0,0.98,0,0.98,0,0.98,0,0,0.98,15.7,0,0.98,0.98,119.75,0.98,0.98,0,0,0,8.83,0,0,0,0,17.67,0,0,3.93,0,0
 72-82,0,0,1.96,0,3.93,1.96,0,44.17,0,0.98,18.65,0,0.98,3.93,0,0,0,1.96,0,0,25.52,1.96,0.98,2.94,82.46,0.98,0,0,0,0,6.87,0,1.96,0,0,12.76,0,3.93,3.93,0,2.94
 84-94,0,0,0,0,5.31,0,0,37.17,0,2.12,13.81,0,0,0,1.06,2.12,1.06,1.06,1.06,1.06,16.99,1.06,2.12,1.06,35.05,1.06,2.12,2.12,0,0,18.05,0,0,0,0,5.31,0,1.06,4.25,1.06,1.06
 96-106,0,0,1.09,0,6.56,2.19,0,24.04,2.19,1.09,8.74,7.65,0,0,4.37,1.09,1.09,2.19,0,1.09,21.86,1.09,1.09,1.09,37.16,0,2.19,1.09,0,1.09,14.21,0,0,0,0,3.28,0,1.09,3.28,0,2.19
108-118,0,0,0,0,7.66,0.77,0.77,16.85,3.83,0.77,6.13,1.53,0,0,2.3,1.53,3.83,0.77,0.77,2.3,9.96,1.53,0.77,0.77,49.79,0,0.77,2.3,0,0,8.43,0,0,0,0,1.53,3.06,0,6.13,0,0
120,0,0,0,0,3.92,0,0,13.72,0,0,7.84,0,0,0,0,0,1.96,0,0,0,11.76,0,1.96,0,23.52,3.92,1.96,3.92,0,0,5.88,0,1.96,0,0,0,0,0,5.88,0,0
