stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,1054.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,263.57,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,79.69,6.13,0,0,24.52,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,473.17,21.03,0,21.03,0,0,0,10.51,0,0,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0,118.29,433.74,0,0,991.02,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,0,18.88,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7,619.95,0,0,440.58,0,9.44,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,27,2,0,4,0,0,0,1,1,1,0,1,1,0,0,0,5,0,0,3,29,539,0,0,18,0,9,0,7,0,0,5,19,0,0,0,0,0
 24-34,0,0,0,1.64,32.83,4.93,0,9.03,0,4.93,0,5.75,1.64,0,1.64,0.82,7.39,0,1.64,0,15.6,2.46,0,7.39,49.25,149.4,2.46,0,0,0,26.27,0,0,1.64,0,1.64,18.88,0,0,6.57,0,0
 36-46,0,0,0,0,16.92,3.22,0,2.42,0,3.22,2.42,6.45,0,0,2.42,2.42,1.61,0,0,0,22.56,2.42,0,6.45,32.23,84.6,0,0,0,0,40.28,0,0,2.42,0,0,13.7,0,0,2.42,0,1.61
 48-58,0,0,0,0,26.97,6.89,0,6.31,0,7.46,0.57,14.35,1.15,0,1.72,5.16,1.72,0,0.57,1.72,20.08,5.16,0.57,9.18,16.64,35,0.57,1.72,0,0,33.28,0,0,0,0,0,4.59,0,0,2.87,0,0
 60-70,0,0,0,0,49.08,8.83,0,6.87,0.98,12.76,2.94,30.43,0.98,0,0,6.87,3.93,0,0,0.98,48.09,4.91,0,5.89,17.67,17.67,0.98,2.94,0,0,36.32,0,0,1.96,0,0,6.87,0,0,0.98,1.96,0.98
 72-82,0,0,0.98,0,52.03,13.74,0,12.76,0.98,12.76,7.85,53.99,4.91,0,0,10.8,9.82,0,0,0.98,89.33,6.87,3.93,9.82,19.63,17.67,0,4.91,0,0.98,27.49,0,0,0.98,0,0,4.91,4.91,0.98,8.83,3.93,1.96
 84-94,0,0,0,2.12,110.45,14.87,0,8.5,0,25.49,4.25,27.61,29.74,0,0,19.12,3.19,1.06,2.12,3.19,78.59,5.31,3.19,7.43,14.87,27.61,5.31,6.37,0,3.19,110.45,0,0,3.19,0,0,4.25,2.12,2.12,11.68,7.43,1.06
 96-106,0,0,3.28,0,116.93,22.95,1.09,5.46,1.09,29.51,2.19,40.44,19.67,0,1.09,36.06,20.76,0,7.65,3.28,60.11,10.93,4.37,9.84,27.32,21.86,4.37,2.19,0,2.19,112.56,0,0,3.28,1.09,0,2.19,4.37,2.19,13.11,12.02,2.19
108-118,0,0,0,0,108.77,13.02,0,7.66,0,28.34,3.06,19.92,17.62,0,1.53,21.45,3.06,0,3.06,6.89,57.45,6.89,3.83,6.89,22.21,22.98,0.77,6.13,0,4.6,69.7,0,0,2.3,0.77,0,2.3,7.66,2.3,6.13,1.53,3.83
120,0,0,0,0,97.99,15.68,0,1.96,0,31.36,3.92,21.56,31.36,0,1.96,31.36,5.88,1.96,1.96,1.96,43.12,5.88,0,5.88,21.56,29.4,0,7.84,0,3.92,97.99,0,0,7.84,0,0,0,3.92,0,11.76,9.8,0
