stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,9.44,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,7.39,0,0,0,0,6.57,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,3.22,0,8.86,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,7.46,0.57,0,1.72,0,0,0,0,0,2.87,0.57,15.49,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,0,0,13.74,0,0,0,0,0,0,0,0,2.94,0,14.72,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,0,0,29.45,0,0,4.91,0,0,0,0.98,0,0,0,14.72,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,0,61.6,0,0,2.12,0,1.06,1.06,0,0,1.06,0,7.43,0,0,0,0,3.19,0,1.06,0
 96-106,0,0,0,0,1.09,0,90.71,0,1.09,0,1.09,2.19,0,1.09,0,1.09,1.09,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,112.6,0,0,1.53,0,0,0,0,0.77,3.06,0,5.36,0,0,0,0,0,0.77,0,0.77
120,0,0,1.96,0,0,0,60.75,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
