stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,9,0,61,0,0,0,0,0,0,14,0,2,1,27,3,0,0,1,39,85,0,0,0,0,2,0,11,1,0,44
 24-34,0,0,1.64,1.64,0,128.87,0,0,0,0,0,4.1,36.94,0,2.46,0.82,96.86,4.1,0,0,2.46,24.63,12.31,0.82,0.82,0,2.46,0,0.82,6.57,9.03,0,116.56
 36-46,0,0,0.81,0.81,0,80.57,0,0,0,0,0,1.61,38.67,0,4.03,0,74.93,3.22,0.81,0.81,0.81,16.92,16.11,0.81,0,0,4.03,0,0,7.25,4.83,0,67.68
 48-58,0,0,0,0,0,65.99,0,0,0,0,0,1.15,26.4,0,1.72,0,50.49,4.59,0,0,0,16.07,8.03,0,0,0,2.3,0,0.57,2.87,5.74,0,58.53
 60-70,0,0,0,0,0,72.63,0,0.98,0,0,0,0.98,39.26,0,5.89,0,29.45,5.89,0,0,2.94,24.54,7.85,1.96,0,0,7.85,0,0,2.94,2.94,0.98,48.09
 72-82,0,0,0,1.96,0,46.14,0.98,0,0.98,0,0,0.98,59.88,0,2.94,0.98,25.52,4.91,0,0.98,0,17.67,0,2.94,0,0,5.89,0,0.98,2.94,3.93,0,38.28
 84-94,0,0,1.06,1.06,0,103.02,0,0,0,0,0,1.06,86.03,0,9.56,0,33.99,5.31,0,2.12,0,6.37,4.25,0,0,0,16.99,0,0,0,5.31,0,21.24
 96-106,0,0,1.09,1.09,0,73.22,0,1.09,0,0,0,2.19,95.08,1.09,9.84,0,38.25,4.37,1.09,1.09,0,9.84,4.37,2.19,0,0,31.69,0,0,0,7.65,2.19,32.79
108-118,0,0,3.83,1.53,1.53,78.89,0.77,0,0,1.53,0,0.77,81.19,0.77,15.32,0.77,30.64,4.6,0,0,0.77,6.13,6.89,1.53,0,0,28.34,0,0.77,0.77,3.06,0,45.19
120,0,0,3.92,1.96,0,23.52,0,1.96,1.96,1.96,0,0,115.63,1.96,5.88,0,17.64,3.92,0,0,0,9.8,5.88,0,0,0,43.12,0,0,0,5.88,1.96,19.6
