stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,131.44,7.89,0,0,86.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,31.47,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,125.88,12.59,0,0,122.73,0,0,0,3.15,0,0,6.29,0,0,0,0,0
 14-21,1,4,4,92,1481,410,103,0,1,0,95,46,8,10,0,46,2,2,5,52,243,4,0,283,1094,307,5,57,227,0,110,823,47,30,1552,1811,0,0,23,0,41
 24-34,0,0.82,5.75,53.36,540.12,227.38,102.61,0,32.83,9.03,154.32,33.66,0,20.52,0.82,11.49,14.78,16.42,27.91,100.14,395.65,12.31,2.46,250.36,578.7,99.32,3.28,27.09,0,0,12.31,3.28,1.64,4.93,298.79,927.57,0,0,88.65,0,114.1
 36-46,1.61,0,0.81,6.45,86.21,10.47,17.72,0,9.67,20.14,59.62,24.98,0,8.06,0.81,0,12.09,0,13.7,32.23,224.78,1.61,10.47,96.68,132.94,72.51,1.61,1.61,0,0.81,4.83,3.22,0.81,0.81,0.81,252.17,0,0.81,28.2,0,37.87
 48-58,0.57,0,0,1.72,11.48,0,12.62,0,4.59,10.9,14.35,44.18,0,10.9,0,0,11.48,0,9.75,8.03,121.07,0,10.9,21.23,45.9,30.99,0,0,0,1.15,1.15,0,0,0,0,63.69,0,0,9.18,1.15,19.51
 60-70,0,0,0.98,0,0.98,0.98,5.89,0,1.96,0.98,0.98,25.52,0.98,1.96,0,0,7.85,0,3.93,0.98,36.32,0,4.91,6.87,12.76,15.7,0,0.98,0,0.98,0,0,0,0,0,3.93,0,1.96,1.96,0,4.91
 72-82,0,0,1.96,0,0,0,11.78,0,0,7.85,3.93,24.54,0,2.94,0,0,0.98,1.96,0,1.96,27.49,0,1.96,1.96,16.69,9.82,0,0.98,0,0,0,0,0,0,0,5.89,0,0.98,3.93,0,4.91
 84-94,0,0,0,0,0,1.06,7.43,0,2.12,3.19,1.06,14.87,0,1.06,0,0,3.19,0,0,1.06,16.99,0,0,0,5.31,16.99,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06,3.19,0,2.12
 96-106,0,0,3.28,0,1.09,0,4.37,0,0,2.19,5.46,8.74,0,1.09,0,1.09,3.28,0,0,0,10.93,0,0,1.09,6.56,2.19,0,0,0,0,2.19,0,0,0,0,3.28,0,2.19,4.37,1.09,5.46
108-118,0,0,1.53,0,2.3,0,3.06,0,0.77,0.77,2.3,1.53,0,1.53,0.77,1.53,6.13,0,0,0,6.89,0,0,1.53,6.89,3.06,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,3.83
120,0,0,1.96,0,3.92,0,0,1.96,0,1.96,5.88,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,11.76,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0
