stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,1,3,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,1.64,25.45,0.82,0,0,0,0,0,4.1,0,1.64,0
 36-46,0,0,0,5.64,0,0,0,1.61,0,0,0,0,0.81,0,0,1.61,0,0.81,29.81,0,0,0,1.61,0,0,7.25,0,0,0
 48-58,0,0,0,4.59,0.57,0,0,1.15,0.57,0,0,0,0,0,0,3.44,0,0.57,16.64,0,0,0,2.3,0,0,5.16,0,0,0
 60-70,0,0.98,0,17.67,0,0,0,1.96,0,0,0.98,0,0,0,0,2.94,0,0.98,32.39,0,0,0,0,0,0,6.87,0,0,0
 72-82,0,1.96,0,16.69,0,0,0.98,0.98,0,0,0,0.98,0,0.98,0,6.87,0,2.94,36.32,0,0,0,0.98,0,0.98,2.94,0,0.98,1.96
 84-94,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,14.87,0,0,0,0,0,0,2.12,0,1.06,0
 96-106,0,0,1.09,2.19,0,0,0,1.09,0,0,0,0,0,0,1.09,1.09,1.09,1.09,12.02,0,1.09,0,2.19,0,0,1.09,1.09,0,1.09
108-118,0,1.53,1.53,3.06,0,0,0,1.53,0,0,0.77,0,0,0,0.77,1.53,0,0,7.66,1.53,0.77,0,0.77,0,0,0.77,0,1.53,0
120,0,1.96,0,9.8,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,1.96,0,0,0,0,0,0
