stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,9.03,0,0.82,0.82,0,0,6.57,0,0,0.82
 36-46,0,0,0,3.22,0.81,0,0,0,0.81,1.61,0,1.61,24.98,0.81,0,0.81,0,0,4.83,0,0,0
 48-58,0,0.57,0,4.59,0,0,2.3,0,0,3.44,0,0.57,28.12,0,0,0,0,0,4.59,0,0,0
 60-70,0,0,0,5.89,0,0,4.91,0.98,0,0,0,0,24.54,0,0,0,0,0,3.93,0,0,0
 72-82,0,0.98,0.98,9.82,0,0,0.98,1.96,0,6.87,0.98,0,13.74,0.98,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,2.12,0,1.06,2.12,2.12,0,3.19,0,1.06,11.68,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,1.09,5.46,0,4.37,1.09,0,8.74,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,2.3,0,0,2.3,6.89,0,1.53,0,0.77,7.66,0,0.77,0,1.53,0,0,0,0,0
120,0,1.96,0,0,0,0,1.96,7.84,0,0,0,0,17.64,0,0,1.96,1.96,0,1.96,1.96,1.96,0
