stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,382.16,5561.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,1740.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,10.51,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,144.58,5.26,0,0,49.95,0,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,3.15,0,6.29,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,5,0,0,1,0,207,1,4,0,0,2,4,0,0,0,0
 24-34,0,0,0.82,14.78,0,4.93,0,0,0,0,0.82,0.82,0,4.1,0,0,0.82,3.28,10.67,0,0,42.68,0.82,0.82,1.64,0,0,1009.65,0,0,0,0,0,6.57,0,2.46,0,0.82
 36-46,0,0,0,6.45,0,5.64,0.81,4.03,0.81,2.42,0,0,0,1.61,0,0.81,0,0.81,11.28,0,0,29.81,0.81,0.81,0,0,0,1080.4,0,0,0.81,0,0,6.45,0,0,0,0
 48-58,0,0,0,13.2,0.57,20.66,0,9.75,0,5.74,0.57,8.03,0,1.15,0,0,0.57,5.74,15.49,1.15,1.72,46.48,0,0.57,0,0,0.57,1154.5,0,0,0,0,0,6.89,0,0.57,0,0.57
 60-70,0,0,0,18.65,0,12.76,0.98,8.83,0.98,1.96,0,9.82,0,0.98,0,0,0,2.94,9.82,0,0,25.52,0,0,0,0,0,729.27,0,0,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0,34.36,2.94,6.87,2.94,6.87,0,2.94,0.98,7.85,0,3.93,0.98,0,0,8.83,5.89,0,0,31.41,0.98,0,0,0,0,541.88,0,0,0,0.98,0,4.91,3.93,3.93,0,0
 84-94,0,0,0,35.05,0,8.5,0,22.3,0,2.12,0,12.74,1.06,14.87,1.06,0,0,8.5,9.56,0,0,5.31,0,0,1.06,0,0,1367.9,0,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,33.88,2.19,10.93,1.09,7.65,0,3.28,2.19,0,0,12.02,0,1.09,0,7.65,9.84,0,0,19.67,0,1.09,0,0,2.19,691.77,0,0,0,0,0,4.37,2.19,0,0,1.09
108-118,0,0,0,26.04,0,4.6,0.77,15.32,0,4.6,1.53,0,0,7.66,0.77,1.53,0,3.83,14.55,0,0,12.26,0,0,0.77,0,0,501.71,0.77,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,17.64,0,1.96,0,15.68,0,0,0,0,0,9.8,0,0,0,0,7.84,0,0,3.92,0,0,0,0,0,358.64,0,0,0,0,0,0,1.96,1.96,0,0
