stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,3.28,0,0,4.1,0,0,0.82,0,0,0
 36-46,0,0,3.22,0,0.81,0,0,0,0.81,0,0,0,0,0,0,29.81,0,0.81,7.25,0,0,1.61,0,0,0
 48-58,1.15,0,9.75,0,1.72,0.57,0,0,0,0,0,0,1.72,0,0,69.43,0.57,0,1.72,0,0,1.15,0,0.57,0
 60-70,0,0,40.24,0,1.96,0.98,2.94,0,0,0.98,0,0,0,0,0,143.3,0.98,0,1.96,0,0.98,4.91,0,0,0.98
 72-82,0,2.94,59.88,0,0,0,8.83,0,0,0,0,0,2.94,0,0,248.36,0,0,5.89,0,0,2.94,0,0,0
 84-94,1.06,1.06,44.61,0,0,0,5.31,0,0,1.06,0,0,2.12,0,0,128.51,0,0,11.68,0,0,3.19,1.06,0,1.06
 96-106,0,0,32.79,1.09,4.37,0,4.37,1.09,0,0,0,0,4.37,1.09,0,112.56,0,0,13.11,0,0,2.19,0,0,1.09
108-118,2.3,0,43.66,0,6.89,0.77,1.53,0.77,0.77,1.53,0.77,0.77,3.06,0,0.77,157.79,0.77,0,16.09,0,0,2.3,0,0,0
120,3.92,0,52.91,0,1.96,0,0,0,0,3.92,0,0,0,0,0,209.7,0,0,19.6,0,0,1.96,0,0,0
