stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,245.19,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,76.23,5.26,0,0,42.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,9.44,0,0,0,0,0,0,0,0,107,0,0,0,78.67,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,3,0,0,2,21,0,0,0,0,0,0,2,0,0,1,3,0,0,0
 24-34,0,0,0,0,0,3.28,0.82,0,0,0,2.46,0,0,2.46,46.79,0,0,0,0,0,1.64,0,0,0.82,0,19.7,0,0.82,0
 36-46,0,0,0,0,0,4.03,1.61,0,0,0,4.03,0,0,0.81,40.28,0,0,0.81,0,0,0.81,0,0,0,0,11.28,0,0,0
 48-58,0,0,0,0,0,10.33,0.57,0,0,0,1.72,0,0,1.15,12.05,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,10.8,0.98,0,0,0,2.94,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0
 72-82,0,0,0,1.96,0,4.91,0.98,0,0,0,2.94,0,0,0,14.72,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,5.31,1.06,0,0,0,4.25,0,0,1.06,8.5,0,2.12,0,0,1.06,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,5.46,1.09,1.09,0,1.09,2.19,0,0,0,3.28,0,1.09,0,0,0,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,3.83,0.77,0,0.77,0,1.53,0.77,0,0,9.19,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
