stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,2,1,0,0,0,0,0,0,0,0,2,0,40,0,0,1,0,0,0,0,13,0,0,0,0
 24-34,0,0.82,1.64,8.21,0,0,2.46,0,0,0,0,0,5.75,2.46,231.48,2.46,0,0,0,0,0,0,52.53,0,0,0,0
 36-46,0,0,0.81,16.11,0,0,15.31,0,0,0,0,0.81,9.67,1.61,240.9,0.81,0,0,0,0.81,0,0,42.7,0,0,0,0
 48-58,0,0,0,25.25,0.57,0,17.21,0.57,0,0,0,0,8.03,0.57,126.24,0,0,0,0,0,0,0,31.56,0,0,0,0
 60-70,0,0,0.98,69.69,0,0,19.63,0,0,0,0,0,8.83,1.96,89.32,0.98,0.98,0,0,0,0,0.98,15.7,0,0.98,0,0
 72-82,0,0,0.98,71.66,0,0,24.54,0,0,0,0.98,0,11.78,1.96,77.55,0,0,0,0,0,0,0,9.82,0.98,0,0.98,0.98
 84-94,0,0,1.06,55.23,0,0,13.81,0,1.06,1.06,0,0,13.81,0,58.41,0,1.06,0,0,0,0,0,4.25,0,0,0,0
 96-106,0,0,1.09,49.18,1.09,0,14.21,0,0,1.09,0,0,4.37,0,50.27,0,1.09,0,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0.77,0,28.34,0,0.77,14.55,0,0.77,0,0,0.77,7.66,0,72,0,0.77,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,27.44,0,1.96,9.8,0,0,0,0,0,9.8,1.96,29.4,0,1.96,0,1.96,0,0,0,3.92,0,0,0,0
