stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,heart,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,vasculature
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,0,0,1.64,11.49
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2.42,0,0,0,0,0.81,10.47
 48-58,0,0,0,0,0,1.15,0,0,0,1.15,0.57,0,0,0,0.57,0.57,0.57,0,0,0,0,0.57,0,12.05
 60-70,0,0,0,0,0,0.98,0,0,0,1.96,0.98,0.98,0,0,0,0.98,0.98,0.98,0,0,0,0,0,18.65
 72-82,0,0,3.93,0,0,1.96,0.98,0,0,7.85,2.94,0,0,0,0.98,0,0,1.96,0,0,0,0,0,28.47
 84-94,0,0,3.19,0,1.06,1.06,0,0,0,18.05,1.06,0,1.06,0,2.12,0,0,1.06,0,0,0,0,0,22.3
 96-106,0,0,2.19,1.09,0,1.09,1.09,0,0,10.93,2.19,0,1.09,0,0,0,0,5.46,0,0,0,0,0,34.97
108-118,0,0,1.53,0,0,2.3,0,0.77,0.77,30.64,0.77,0,1.53,0.77,0,0,0.77,6.13,0,0,0,0,0,20.68
120,0,0,1.96,0,0,1.96,0,0,0,25.48,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,21.56
