stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,4,14,2,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,9,0,8,4,0,0
 24-34,0,8.21,2.46,1.64,0,0,0,0,0,0,9.85,2.46,0,0,0,12.31,0.82,0.82,0,0,0.82,0,0,0.82,1.64,0,0.82
 36-46,0,2.42,2.42,0.81,1.61,0,0,0,0,0,5.64,4.83,0,0.81,0,12.89,0,0,0,0,0,0,0,0,4.03,0,0
 48-58,0,3.44,3.44,0,0,0,0,0.57,0,0,0.57,2.87,0,0,0,14.35,0,1.15,0,0,0,0,0,0,4.02,0,0
 60-70,0,5.89,11.78,0.98,0,0.98,0,0,0,0,3.93,0,0.98,0,0,9.82,0.98,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,3.93,11.78,0,1.96,0,0.98,0,0,0,3.93,5.89,0,0,0.98,13.74,0.98,0.98,0,0.98,1.96,0,0,0,0.98,0,1.96
 84-94,0,2.12,8.5,1.06,0,0,0,0,1.06,0,10.62,10.62,0,0,0,7.43,0,1.06,0,1.06,2.12,0,0,0,1.06,1.06,0
 96-106,0,1.09,5.46,0,0,0,0,0,1.09,0,6.56,3.28,0,0,0,5.46,0,1.09,0,1.09,1.09,0,0,0,0,0,1.09
108-118,0,6.13,3.06,0.77,0.77,1.53,0,0,0,1.53,4.6,3.83,0,0,0,6.89,0,0.77,0,0,1.53,0,0,0,0.77,0,0
120,0,1.96,1.96,0,0,3.92,0,1.96,0,0,1.96,5.88,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
