stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,102.52,10.51,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,1,1,0,1,1,0,2,1,25,0,0,1,0,0,0,4,0,1,2,14,0,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,0,0,0,0,0,0,3.28,0.82,20.52,0,0.82,0,0,0,0.82,0,0,0,0,7.39,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,6.45,0,0,1.61,0,0,0,0,0,0,2.42,0,13.7,0,0,0,0,0,0.81,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,0,0,0,3.44,0,0,2.3,0,0,0,0,0,0,4.02,1.72,7.46,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,0,0,0,5.89,0.98,0,1.96,0,0.98,0.98,0,0,0,2.94,0.98,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,4.91,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,4.25,0,0,1.06,0,0,0,0,0,0,0,1.06,8.5,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,1.09,2.19,0,0,1.09,1.09,0,0,3.28,0,3.28,0,0,2.19,0,0,2.19,0,0,0,0,1.09,1.09,1.09,1.09,0
108-118,0,0,0,0.77,0,0.77,2.3,0,0,3.83,0,0,0.77,0,0,0.77,2.3,1.53,6.13,0,0.77,0,0,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
