stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,2,24,2,0,13,0,0,0,0,0,0,0,0,0,0,4,0,2,91,0,0,3,14,11,0,19,15,0,0,0,0
 24-34,0.82,0.82,4.1,1.64,0,17.24,0,0.82,0.82,0,0,0.82,1.64,0,0.82,0,7.39,0,2.46,97.68,0,0,2.46,6.57,0,0,4.1,22.16,0,0,1.64,0.82
 36-46,0,0,0.81,0,0,17.72,0,0,4.03,0,0,0,0,0,0,0.81,7.25,0,1.61,62.84,0,0,0.81,0,0,0,0,8.06,0,0,1.61,0
 48-58,0,0,2.3,10.9,0,25.82,0,0.57,7.46,0,0.57,0.57,0,0,0,0,14.92,0.57,2.87,56.81,0,0,0,0.57,0,0,0,13.77,0,0,0.57,0
 60-70,0,0,0.98,62.82,0,24.54,0,0,0.98,0,0,0,0,0,0,0,13.74,0.98,0.98,50.06,0,0,0.98,0,0,1.96,0,2.94,0,0,1.96,0
 72-82,0.98,0,0.98,140.38,0,14.72,0,0,4.91,0,0,1.96,0,0,0,0.98,9.82,0,0.98,36.32,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,1.06,0,2.12,95.58,0,8.5,0,0,3.19,1.06,0,3.19,1.06,2.12,0,0,7.43,0,1.06,22.3,0,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0
 96-106,0,0,2.19,130.05,0,8.74,0,1.09,1.09,1.09,0,1.09,0,0,0,0,5.46,0,3.28,18.58,1.09,0,0,1.09,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0.77,5.36,99.58,0,5.36,0.77,1.53,0.77,2.3,0,0.77,1.53,0,0,0,4.6,0,5.36,16.09,0,0.77,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,3.92,111.71,1.96,11.76,0,0,5.88,0,0,5.88,1.96,0,0,0,3.92,0,0,23.52,0,0,0,0,0,0,0,0,0,0,1.96,0
