stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,47.32,2.63,36.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,9.44,0,0,0,0,28.32,0,0,0,0,0,0,56.65,0,56.65,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,0,2,0,0,0,0,1,0,1,0,3,0,2,20,0,1,0,11,0,2,5,9,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,11.49,0,0,0,0,0,0,0,6.57,0
 36-46,0,0,0,0,0,2.42,0,0,1.61,0,0,0,0,0,2.42,0,0.81,15.31,0,0,0,0,0,0,0,7.25,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,2.87,0,0,9.75,0,0,0,0,0,0,0,2.3,0.57
 60-70,0,0,0,0,0,4.91,0.98,0,0.98,0,0,0,0,0,0.98,0.98,0,14.72,0,0,0,0,0,0,0,3.93,0.98
 72-82,0,0,0,0,0,4.91,0,0,2.94,0,0,0,0,0,1.96,0,0,9.82,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,0,0,0,1.06,0,1.06,1.06,0,1.06,0,0,4.25,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,4.37,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,2.3,0,0.77,0,0.77,0,0,0,0,0,0,0.77,3.06,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0
