stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
 14-21,1,6,4,8,0,0,3,0,0,0,0,0,0,5,0,0,7,131,1,1,0,1,2,7,10,34,0,0
 24-34,0.82,6.57,2.46,67.31,0.82,0,4.1,0,0,1.64,0.82,0.82,0,45.15,0,0,13.13,448.19,0,0.82,2.46,0,5.75,0,3.28,91.94,0,3.28
 36-46,0,4.03,2.42,114.41,0.81,0.81,8.06,0.81,0,0,0,0,0,21.75,0,0.81,4.83,281.18,0,2.42,0.81,0,1.61,0,0,56.4,0,0.81
 48-58,0,2.3,1.15,158.94,0,0,5.16,0,0.57,0,0,0.57,0,23.53,0,1.72,5.74,108.45,0.57,0.57,1.15,0,2.87,0,0,13.77,0,1.15
 60-70,0,2.94,0.98,134.47,0.98,0,8.83,1.96,0,0,0,0,0,14.72,0,1.96,4.91,63.8,0,0,0,0,1.96,0,0,2.94,0,1.96
 72-82,0,4.91,0,33.38,0.98,0,5.89,0,0.98,0,0,0,0,19.63,0.98,0.98,3.93,34.36,0,0,0,0,0.98,0,0,1.96,0,0.98
 84-94,0,5.31,1.06,32.92,0,0,3.19,1.06,0,0,0,0,1.06,14.87,0,2.12,2.12,39.3,0,1.06,1.06,0,1.06,0,0,0,1.06,4.25
 96-106,0,0,0,14.21,0,0,3.28,1.09,0,1.09,0,0,1.09,9.84,0,0,1.09,17.49,0,0,0,0,1.09,0,0,0,1.09,1.09
108-118,0,2.3,0.77,16.09,0,0,1.53,0,0,0,0,0,0.77,4.6,0,0.77,2.3,23.74,0,0.77,1.53,0,0,0,0,0,0,2.3
120,0,0,7.84,43.12,0,0,5.88,0,0,3.92,1.96,1.96,0,19.6,0,1.96,3.92,52.91,1.96,0,3.92,0,0,0,0,0,0,3.92
