stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0.82,0.82,12.31,0,0,0,0.82,0.82,1.64,0,0.82,0
 36-46,0,0,0.81,0.81,0,0,0,0,0.81,0,0,0,1.61,0,10.47,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0.57,9.75,0.57,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0.98,2.94,0,4.91,0,0,0,0.98,0,0.98,0.98,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,1.06,0,0,0,1.06,0,4.25,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,0,4.37,1.09,5.46,0,0,0,0,0,2.19,0,0,0
108-118,0,0,2.3,0,0,0,0,0.77,0.77,0.77,0,0,2.3,0,3.06,0,0,0,0.77,0,0,0,0.77,0.77
120,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
