stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0.82,0.82,0,0.82,0,0,0,0,0.82,0,97.68,0,0,0,0,0,0.82,0,0,0.82,4.1,0.82,0,0,1.64,0,0,0.82,0,4.1,0,0
 36-46,0,1.61,0,0.81,0,0,1.61,0.81,0,0,140.99,0,0,0,0,0,0.81,1.61,0,0.81,13.7,0.81,0,0,0.81,0,0,3.22,0,5.64,0,0
 48-58,1.15,5.74,0,2.87,0,0,1.72,0,0,0,156.65,0,0,0,0,0,2.87,1.15,0,0.57,11.48,1.72,0,0,0,0,0,5.16,0,25.25,0,1.15
 60-70,2.94,12.76,0,6.87,0,0,1.96,0,0,0,207.1,0.98,0,0,0,0.98,9.82,2.94,0,0,10.8,1.96,0,0,1.96,0,0,0.98,0,40.24,0,0.98
 72-82,2.94,42.21,0,9.82,0,0,2.94,0,0,0.98,353.4,0,0,0.98,0.98,0.98,43.19,4.91,0,1.96,23.56,0,0.98,0,0.98,0,0,0,0,65.77,0.98,0
 84-94,2.12,58.41,0,5.31,0,0,6.37,1.06,0,0,425.88,0,0,0,0,0,46.73,3.19,1.06,1.06,8.5,8.5,0,1.06,2.12,0,0,2.12,1.06,56.29,0,0
 96-106,7.65,86.33,1.09,18.58,0,0,5.46,1.09,0,0,575.93,2.19,1.09,1.09,5.46,0,42.62,4.37,2.19,1.09,27.32,1.09,2.19,1.09,5.46,0,0,0,0,98.36,0,0
108-118,4.6,91.92,1.53,8.43,0.77,1.53,4.6,3.83,0,0,493.28,0.77,0.77,0,0,1.53,24.51,2.3,0.77,0.77,29.11,3.06,1.53,0,6.89,0,0.77,0.77,0,78.13,0,0
120,13.72,113.67,0,7.84,0,0,3.92,1.96,0,0,729.04,0,0,1.96,1.96,0,19.6,0,0,3.92,33.32,5.88,0,3.92,1.96,0,0,1.96,0,80.35,0,0
