stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,4,1,1,0,0,0,10,0,0,0,0,4,0,0,6,7,0,0,0,0,0,1,1,0,3,55,0,0,0,0
 24-34,0,50.07,0,2.46,0,0.82,0,3.28,0,0.82,0,0.82,40.22,0,0,44.33,13.13,4.93,0.82,0,0,0,4.1,0,0,2.46,29.55,0,0.82,0,0
 36-46,0,41.89,0,7.25,0,2.42,2.42,0.81,0.81,0,0,0,97.49,0,1.61,35.45,8.86,4.03,0,0.81,0,0.81,1.61,0,0,0,5.64,0,0.81,0,0
 48-58,0,30.41,0,3.44,0,2.87,5.16,1.72,0,0,0,0,93.53,0.57,4.59,17.21,6.31,10.9,0,0,0,0,0.57,0,0.57,0,3.44,1.15,0,0,0.57
 60-70,0,26.5,0,6.87,0.98,13.74,8.83,3.93,0,0,0,0,166.86,0,10.8,15.7,8.83,9.82,0,0,0,0,0,0,0.98,0,0,7.85,0,3.93,0
 72-82,1.96,29.45,0,6.87,0,5.89,6.87,11.78,0,0,0,0,224.8,0,16.69,21.6,15.71,1.96,0,1.96,0,2.94,1.96,0,0,0,0,15.71,0,17.67,0
 84-94,1.06,44.61,1.06,10.62,0,19.12,8.5,11.68,2.12,1.06,0,0,148.69,0,10.62,9.56,6.37,4.25,0,1.06,0,0,0,0,0,0,0,16.99,0,9.56,0
 96-106,3.28,45.9,0,7.65,0,15.3,2.19,8.74,1.09,1.09,0,0,153,1.09,7.65,9.84,4.37,2.19,0,1.09,0,4.37,3.28,0,0,0,0,15.3,0,17.49,0
108-118,0.77,51.32,0,7.66,0,15.32,0.77,7.66,2.3,0,0.77,0,114.89,0,5.36,9.19,12.26,2.3,0,0,0,1.53,2.3,0,0.77,0,1.53,5.36,0,5.36,0
120,0,35.28,0,3.92,0,11.76,0,0,0,1.96,0,0,84.27,0,5.88,13.72,5.88,1.96,0,0,0,3.92,0,0,0,0,0,5.88,0,3.92,0
