stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,34.48,0,2.46,0,0,0.82,7.39,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,3.22,0.81,0,0,0,0,19.34,0,0,0,0,0,5.64,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.3,0,0,0,0,0.57,0,0,0,20.08,0,0,0,0,0,8.03,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0.98,2.94,0,0,0,0,0,0,0,0,26.5,0,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,7.85,0,0.98,1.96,0,0,0,0,0,127.62,0.98,2.94,0,0.98,0,18.65,0,0,0,0,0.98,0,0,0,1.96,0,0,0.98,0.98,1.96
 84-94,0,0,0,0,0,2.12,0,4.25,0,1.06,1.06,1.06,0,0,0,0,435.44,0,2.12,0,0,0,15.93,0,0,0,0,4.25,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,5.46,13.11,0,15.3,1.09,1.09,6.56,9.84,5.46,1.09,1.09,0,674.29,0,16.39,0,2.19,2.19,109.28,0,0,1.09,0,15.3,0,0,0,0,1.09,0,2.19,1.09,2.19
108-118,0,0,0,0,6.13,1.53,2.3,22.98,0.77,0.77,1.53,13.79,3.06,0.77,1.53,0.77,1365.71,0,18.38,0.77,0,0,95.75,1.53,0,0,0,6.89,0.77,0,0,3.06,0.77,0,0.77,1.53,3.06
120,0,0,0,0,7.84,7.84,1.96,5.88,0,1.96,1.96,29.4,0,0,0,0,670.25,0,5.88,0,0,0,48.99,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
