stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,0,0,0,0,1,2,0,4,2,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0.82,0.82,0,0.82,4.93,0,0,27.91,0.82,0.82,0,0,0,0,0,0.82,9.85,0,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,0,2.42,0,0.81,0,0,0,0.81,8.06,0,0,54.79,0.81,0,0,0,0.81,0,0,0,7.25,0,0,1.61,0,1.61
 48-58,0,0,0,0,3.44,0,0,2.87,0,0,0,0,0,0.57,10.9,0.57,1.72,58.53,0.57,0.57,0,0,0,0,0,0,12.62,0,0,0.57,0,3.44
 60-70,0,0,0,0,9.82,0,0,2.94,0,0,0,0,0,0.98,18.65,0,1.96,62.82,0,0,0,0,0,0,0,0,7.85,0,0,0,0,2.94
 72-82,0,0,0.98,0,7.85,0,0,7.85,0,0,0.98,0,0,0,40.25,0,0.98,67.73,5.89,0,0,0,0,0,0,0,6.87,0,0,3.93,0.98,1.96
 84-94,0,0,0,0,10.62,0,1.06,3.19,0,1.06,0,1.06,0,1.06,18.05,0,1.06,33.99,1.06,2.12,0,0,0,0,0,0,2.12,0,0,2.12,0,3.19
 96-106,0,0,1.09,1.09,1.09,0,0,3.28,0,0,0,1.09,0,0,26.23,0,1.09,24.04,7.65,1.09,0,1.09,1.09,0,0,0,1.09,0,1.09,1.09,0,2.19
108-118,0,0,0.77,0,3.06,0.77,0,3.83,0,0.77,0,0,0.77,0.77,16.85,0,1.53,29.11,6.13,1.53,0,0,0,0,0.77,0,0.77,0,0,1.53,0.77,0.77
120,0,0,0,1.96,1.96,0,0,0,0,0,0,3.92,0,0,11.76,0,5.88,50.95,1.96,0,0,3.92,0,0,0,0,0,1.96,0,1.96,0,1.96
