stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,3,0,0,0,1,0,1,1,0,1,0,0,0,3,0,3,18,1,0,0,0,0,7,3,0,1,7,0,0,1,0,0
 24-34,0,0,0,0,4.93,0,0,3.28,0,0.82,0,0.82,0,0,0,0,4.93,0,2.46,0,10.67,0,1.64,55,0,0,5.75,0,0,12.31,0,0,0,9.03,0,0,0,0,0
 36-46,0,0,0,0,2.42,0.81,0,4.03,0,0,0,2.42,0.81,0,3.22,0.81,0.81,0,0.81,0,6.45,0,2.42,58.01,0.81,0.81,3.22,0,0,17.72,0,0.81,0,11.28,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,12.62,0.57,1.15,0,4.02,0,0,0,0,0.57,0,0,0,4.02,0,0.57,55.66,0,1.15,4.02,0,0,10.9,0,0,0,9.18,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,21.59,0.98,0,0,0.98,0,0,0.98,0,0,0,3.93,0,4.91,0,0.98,101.1,0,0.98,4.91,0,0,10.8,0,0,0,7.85,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,2.94,0.98,0,24.54,0,0,3.93,3.93,0,0,0,0,0.98,0.98,6.87,0,11.78,0,1.96,83.44,1.96,0,7.85,0,0,4.91,0,0,0,3.93,2.94,0,6.87,0.98,0.98
 84-94,0,0,0,0,7.43,0,0,14.87,0,1.06,0,10.62,1.06,0,0,2.12,1.06,0,7.43,1.06,8.5,0,1.06,40.36,1.06,1.06,7.43,0,1.06,22.3,0,1.06,0,2.12,1.06,0,3.19,0,1.06
 96-106,0,0,0,0,8.74,0,0,6.56,1.09,1.09,1.09,5.46,0,0,1.09,2.19,3.28,0,5.46,0,7.65,1.09,2.19,46.99,0,1.09,7.65,0,0,12.02,0,0,0,1.09,3.28,0,2.19,0,1.09
108-118,0,0,0.77,0,9.96,0,2.3,8.43,0,1.53,0,4.6,2.3,0,0,0,2.3,0,6.13,0,11.49,0.77,2.3,42.89,0,0,12.26,0,0,9.96,0,0,0,0.77,0,0.77,0,0,0
120,0,0,0,0,5.88,1.96,0,7.84,1.96,0,1.96,3.92,3.92,0,0,0,3.92,1.96,0,0,5.88,1.96,1.96,43.12,0,0,5.88,0,1.96,17.64,0,0,0,0,0,0,0,0,1.96
