stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0.82,0,0,0,13.13,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.03,0,0,0,21.75,0,0,0,0,0,0.81,0,4.83,0,0,0
 48-58,0,0,0,0.57,0.57,4.59,0,0.57,0.57,0.57,0,0,1.72,0,0,0,0,0,12.05,0,0,0,39.59,0,0,0,0,0.57,0.57,0,3.44,0,0,0
 60-70,0,0,0,0.98,0,23.56,0.98,0,0,1.96,0,0.98,1.96,0,0,0,0,0.98,21.59,0.98,0,0,74.6,0,0,0,0,0,1.96,0,10.8,0,0,0
 72-82,0,0,0,3.93,0,143.32,0.98,0,0.98,6.87,0,0,5.89,0.98,0,0,0,0,49.08,0,0,0.98,132.52,0,0,0,0,0,0.98,0,19.63,0,0,0.98
 84-94,0,0,0,4.25,0,107.27,0,0,0,5.31,1.06,0,13.81,1.06,0,0,0,1.06,58.41,0,0,1.06,54.16,0,0,2.12,0,0,0,1.06,7.43,0,0,0
 96-106,0,0,0,1.09,1.09,159.56,0,0,0,10.93,0,0,17.49,0,0,2.19,0,0,48.09,0,0,1.09,61.2,0,0,1.09,0,2.19,0,0,6.56,1.09,1.09,0
108-118,0,0,0,1.53,0,78.89,0,1.53,0,3.06,0.77,0.77,10.72,0,0.77,0,0.77,0,39.06,0,0.77,1.53,63.57,0.77,0,0,0,0,1.53,0,3.06,0,0,0
120,0,0,0,1.96,5.88,121.51,0,0,1.96,11.76,1.96,0,35.28,3.92,0,1.96,0,0,52.91,0,0,1.96,125.43,0,1.96,0,0,3.92,1.96,1.96,1.96,0,1.96,0
