stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,0,0,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0.82,0,0,0,0.82,56.64,0.82,0.82,0,0,6.57,0.82,0,0,0,0,0.82,1.64,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,59.62,0,0,0,0.81,8.06,0,0,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0.57,0,0,0,0,62.54,0,1.72,0,0.57,1.72,0,0,0,0,0,0.57,1.15,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,79.5,0,0.98,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,104.06,0,3.93,0.98,0,2.94,0,0,0.98,0,0.98,0,0,0.98,0.98,0,0
 84-94,0,0,0,2.12,0,0,156.12,0,2.12,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,2.19,1.09,0,2.19,1.09,0,166.11,0,1.09,1.09,0,1.09,0,1.09,0,0,1.09,0,0,0,2.19,0,0
108-118,0,0,0,0.77,0,0,133.28,0,1.53,0.77,0.77,3.06,0,0,0,0,1.53,0,0,0,1.53,0,0
120,1.96,3.92,1.96,1.96,0,0,174.42,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96
