stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,2.63,0,0,13.14,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,6.57,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0.81
 48-58,0,0,0,1.15,1.15,0,1.72,0,3.44,0,0,1.72,0
 60-70,0,0,0,0.98,0.98,0,1.96,0,1.96,0,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,1.96,0,0.98,0,0,0.98,0
 84-94,0,0,0,2.12,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,3.28,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0
