stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,1,2,0,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,3.28,0,0.82,1.64,0,0,0.82,9.03,0,0,0,0.82,37.76,0,1.64,29.55,0.82,1.64,0,0.82,0,1.64,0,9.85,0,0,0.82,0
 36-46,0,0,0,4.83,0,0,7.25,1.61,0,1.61,0,0.81,0,12.89,0,0,0,7.25,51.56,0,1.61,51.56,0,0.81,0,10.47,0,0.81,0,8.06,0,0,0,0
 48-58,0,0,0,1.72,0,0,20.08,2.87,1.15,4.02,0.57,0,0.57,10.33,0,0,0,8.61,49.92,0.57,1.15,40.74,0,0.57,0,0.57,0,0,0,13.77,0,0,0,1.72
 60-70,0.98,0,0,6.87,0,0,13.74,0.98,0,5.89,0.98,0,0,9.82,0,0,0,2.94,55.95,0,0,31.41,0,0,0,3.93,0,0,0.98,1.96,0,0,0,1.96
 72-82,0,0,0,3.93,2.94,0,13.74,3.93,0,1.96,6.87,0,0.98,7.85,0.98,0.98,1.96,5.89,98.17,0.98,0,37.3,0.98,0.98,0,4.91,0,0,0.98,1.96,0,0,0.98,0.98
 84-94,0,0,0,22.3,2.12,0,3.19,7.43,0,0,20.18,0,2.12,8.5,0,1.06,0,4.25,110.45,1.06,0,7.43,0,0,0,3.19,0,0,0,0,3.19,1.06,1.06,1.06
 96-106,0,0,0,27.32,2.19,1.09,8.74,8.74,0,2.19,57.92,0,1.09,8.74,1.09,2.19,1.09,4.37,157.37,0,0,20.76,0,0,0,10.93,0,0,0,1.09,9.84,1.09,2.19,0
108-118,0,0,0,39.06,1.53,0.77,6.89,9.96,0,0.77,77.36,0,2.3,8.43,0,0.77,0,5.36,146.3,0,0,15.32,0,1.53,0.77,13.02,0,0.77,0,0,11.49,0,0.77,0
120,0,0,0,33.32,0,0,1.96,3.92,0,0,37.24,0,0,5.88,0,0,0,3.92,101.91,0,0,5.88,0,0,0,3.92,0,0,1.96,0,1.96,0,3.92,0
