stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,84.12,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,25.18,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,7,0,0,8,0,0,1,0,0,1,0,0,0,0,0,1,4,0,10,41,0,0,0,0,0,0,1,4,10,0,3,12,0,0,0,1
 24-34,0,0,0,0,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,4.1,31.19,0,0,0,0,0,0,0,0,11.49,0,0.82,4.1,0,0,0,0
 36-46,0,0,0,1.61,0,0,24.17,0,1.61,0,0,0,0,0.81,0,0,0,0.81,0,11.28,0,1.61,16.92,0,0,0.81,0,0,0.81,0,0,8.06,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,96.4,0,5.74,0.57,0,0,0.57,0,0,0,0.57,0.57,0,9.18,0,3.44,17.79,0,0,0,0,0,0.57,0,0,4.59,0,0,3.44,0,0.57,0,4.02
 60-70,0,0,0,0,0,0,435.8,0,1.96,0.98,0,0,0,0,0,0,0,1.96,0,20.61,0,0,23.56,0.98,0,0,0,0,0,0,0,8.83,0,0,1.96,0,1.96,0,3.93
 72-82,0,0,0,3.93,0,0,552.68,0,4.91,4.91,1.96,0,0,0.98,0,1.96,0,0,0,37.3,0.98,2.94,39.27,0,0.98,0,0,0.98,0,0,0,13.74,0.98,0,2.94,0,2.94,0.98,3.93
 84-94,0,0,0,5.31,0,0,449.24,0,8.5,4.25,2.12,0,0,1.06,0,0,0,1.06,0,29.74,0,6.37,15.93,0,0,0,0,0,0,0,0,19.12,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,0,4.37,1.09,0,314.74,0,5.46,8.74,7.65,0,0,2.19,1.09,0,0,0,0,37.16,0,0,22.95,0,1.09,0,0,0,3.28,0,0,21.86,2.19,0,0,1.09,4.37,2.19,1.09
108-118,0,0,0,3.83,0.77,0.77,222.13,0,4.6,3.83,3.83,0,0,2.3,0,1.53,0,1.53,0,29.11,0,3.83,22.21,0,0,0,0,1.53,1.53,0,0,19.92,0,0,0,0,1.53,0,3.83
120,0,0,0,3.92,0,0,211.66,3.92,3.92,0,1.96,0,1.96,1.96,0,1.96,0,3.92,0,25.48,1.96,0,19.6,0,0,1.96,0,0,0,0,0,13.72,0,0,0,0,1.96,1.96,0
