stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature
  3-4,39.53,355.8,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,12.59,3.15,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,1,1,0,4,0,0,0,0,0,1,0,5,0,0
 24-34,0,0,0,0.82,0.82,0,0,4.1,0,1.64,0.82,0,0.82,0,0,6.57,0,0.82
 36-46,0,0,0,0.81,0,0,0,3.22,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,2.87,1.72,0,0.57,0,2.87,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0.98,4.91,0,0.98,0,0.98,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,1.06,2.12,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,0,2.3,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0
