stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,immune,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
