stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,4230.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,5755.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,68.35,26.29,0,0,0,291.79,0,0,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,3178.11,2.63,0,273.39,0,2.63,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,97.56,3.15,0,874.86,0,0,3.15,34.62,18.88,0,40.91,0,0,0,0,0,0
 14-21,0,0,12,20,17,0,5,0,16,0,2,4,2,0,0,0,0,0,0,0,142,0,0,350,65,2,0,11,0,2,1,709,12,47,1358,36,0,0,1,0,0
 24-34,0,0,6.57,36.94,9.03,0,5.75,0,107.53,14.78,0.82,0,0.82,0.82,0,0.82,1.64,0,0.82,0.82,202.75,0.82,0,196.18,72.24,1.64,0.82,0,0,0,0,5.75,6.57,4.93,207.68,50.07,0,0,46.79,0,0
 36-46,0,0,0,3.22,0,0,2.42,0.81,90.23,22.56,3.22,0.81,0.81,3.22,0,1.61,0,0,0,0,121.66,0.81,0,109.57,53.98,0,0,0,0,0.81,0,0,1.61,0,0,16.11,0,0,12.89,0,0
 48-58,0,0,0,6.31,0,0,7.46,0,94.1,21.8,3.44,0.57,1.15,1.15,0,0,0,0,0,0,118.78,0.57,0,47.05,50.49,0.57,0,0,0,4.02,0,0,0,0,0.57,12.05,0,0,17.21,0,0.57
 60-70,0,0,0,0.98,0,0,9.82,0,101.1,15.7,0.98,2.94,0,0.98,0,0,0,0,0.98,0,89.32,0.98,0.98,23.56,28.46,0,0,0,0,2.94,0,0,0,0,0,4.91,0.98,0,4.91,0,0
 72-82,0,0,0,4.91,0.98,0,13.74,0,77.55,24.54,1.96,0,2.94,0.98,0,0,0,0,0,0,82.46,0.98,1.96,16.69,29.45,0,0,0,0,3.93,0,0,0,0,0,2.94,1.96,0.98,13.74,0,0
 84-94,0,0,1.06,7.43,1.06,0,10.62,1.06,139.13,18.05,1.06,4.25,1.06,2.12,0,2.12,1.06,2.12,2.12,0,55.23,1.06,0,11.68,27.61,0,0,0,1.06,5.31,0,0,2.12,0,0,2.12,0,0,5.31,0,0
 96-106,0,0,0,7.65,1.09,1.09,8.74,0,154.09,15.3,1.09,4.37,0,2.19,0,0,1.09,1.09,10.93,0,65.57,1.09,4.37,3.28,42.62,0,0,0,0,5.46,0,0,0,0,0,1.09,2.19,0,3.28,1.09,0
108-118,0,0,1.53,6.89,1.53,3.06,2.3,0,173.11,13.79,0.77,0.77,0,0.77,0,0,0,0.77,9.19,0,40.6,0.77,0.77,5.36,22.21,0,0,0,0.77,8.43,0,0,0.77,0,0,0.77,6.13,1.53,4.6,0,0
120,0,0,1.96,13.72,0,0,5.88,0,145.02,7.84,1.96,1.96,0,1.96,1.96,0,0,0,1.96,0,35.28,0,0,1.96,25.48,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96,3.92,0,0
