stage,blastomeres,epidermis,eye,fast_muscle,glial,gut,immune,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,0.57,0,0.57,0,0,0,1.15,0,2.87,0,0,0,0,0,2.87
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0,0,0,1.96
 72-82,0,0,1.96,0,0,0,0,0.98,0,0,0,10.8,0,11.78,0,0,0.98,0,0,19.63
 84-94,0,0,0,0,0,1.06,0,1.06,0,1.06,0,8.5,0,15.93,0,1.06,0,0,0,10.62
 96-106,0,0,0,0,0,0,1.09,3.28,0,2.19,2.19,20.76,0,20.76,0,1.09,0,1.09,0,16.39
108-118,0,0.77,0,0.77,0.77,0,0,4.6,0,0,0.77,8.43,0.77,16.09,0,0,0,0.77,0.77,27.57
120,0,0,0,0,0,3.92,0,1.96,1.96,0,0,17.64,0,13.72,0,0,0,1.96,0,15.68
