stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,22.03,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,5,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,108,2,0,1,1,1,5,0,0,2,44,0,0,1,0,0
 24-34,0,0,0.82,0,2.46,0,0,23.8,0,0.82,6.57,0.82,0,0.82,0,1.64,0,0.82,0.82,0,6.57,0.82,0,3.28,284.02,0.82,8.21,3.28,0,7.39,0,0,0.82,3.28,73.06,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0.81,0,43.51,0,0,14.5,0.81,0,0,1.61,0.81,0,0.81,0,0.81,2.42,0.81,0,0.81,207.86,0.81,15.31,1.61,0,5.64,0,0.81,0,0,59.62,0,0,2.42,0,0
 48-58,0,0,0.57,0,3.44,1.15,0,137.71,0.57,0,33.28,0.57,0,0.57,0.57,0,0,0.57,0,0,7.46,1.72,1.15,1.72,182.47,0,9.18,1.72,0,1.72,0,0,0.57,0,61.97,0,0,1.72,0,0.57
 60-70,0,0,1.96,0,6.87,0.98,0,338.63,1.96,0,53.98,4.91,0,0,0.98,0.98,0,0.98,0,0.98,11.78,0,0.98,2.94,296.42,0.98,6.87,2.94,0,0.98,0,0.98,0.98,0,41.22,1.96,0,4.91,0,0
 72-82,0,0,2.94,0,11.78,3.93,0,301.37,0,1.96,79.51,7.85,0,0,12.76,1.96,1.96,3.93,0.98,0,23.56,1.96,0.98,3.93,270.94,0,7.85,7.85,0,0.98,0,0.98,0,0,30.43,1.96,0,7.85,0.98,0
 84-94,0,0,5.31,0,13.81,4.25,1.06,197.54,0,0,52.04,12.74,0,1.06,14.87,1.06,2.12,1.06,3.19,1.06,22.3,4.25,0,3.19,161.43,0,8.5,6.37,0,0,0,1.06,5.31,0,15.93,7.43,0,5.31,0,0
 96-106,0,0,6.56,0,4.37,4.37,0,165.02,0,0,64.48,7.65,0,0,25.14,2.19,1.09,0,2.19,0,18.58,3.28,2.19,0,140.98,0,10.93,8.74,0,5.46,0,0,1.09,0,3.28,12.02,0,5.46,2.19,0
108-118,0,0,1.53,0.77,10.72,3.83,0.77,134.04,0.77,0.77,56.68,7.66,0,0,32.94,3.06,1.53,2.3,2.3,0,12.26,0.77,0.77,2.3,166.98,0.77,6.89,4.6,0,0.77,0,0,3.06,0,15.32,8.43,0.77,11.49,0.77,0
120,0,0,0,0,5.88,5.88,0,72.51,3.92,0,39.2,11.76,0,0,23.52,1.96,0,3.92,1.96,0,7.84,0,1.96,3.92,156.78,0,5.88,7.84,0,0,0,3.92,0,0,5.88,7.84,0,3.92,1.96,0
