stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0,47.61,0,1.64,0,0,0.82,8.21,0,0,0,0,0,1.64,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,4.83,0,0,0,0,0,0,6.45,0.81,0,0,15.31,0,0,0,0,0,12.89,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,15.49,0,0,0,1.15,8.03,0.57,10.33,0.57,0,0,12.05,0,3.44,0,0,0,7.46,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,92.26,0,0.98,0.98,4.91,41.22,0,34.35,0,0.98,0.98,25.52,0.98,7.85,0,1.96,0.98,24.54,0,0.98,0,0,0,5.89,0.98,0,0,2.94,0,0,1.96,0,0
 72-82,0,0,4.91,7.85,7.85,0,243.45,0,0,2.94,22.58,160.01,2.94,52.03,0,3.93,0,57.92,0.98,56.94,0,3.93,4.91,216.95,0.98,0,2.94,0,0,7.85,0,0,0,13.74,0,5.89,8.83,1.96,2.94
 84-94,0,0,8.5,12.74,18.05,0,265.51,0,5.31,4.25,20.18,285.69,0,73.28,1.06,1.06,0,125.32,3.19,46.73,1.06,2.12,8.5,142.31,3.19,5.31,4.25,0,0,28.68,0,0,0,14.87,1.06,2.12,11.68,1.06,1.06
 96-106,0,0,18.58,46.99,36.06,1.09,307.09,3.28,12.02,7.65,53.55,428.4,5.46,96.17,9.84,7.65,8.74,384.68,1.09,110.38,6.56,10.93,12.02,373.75,3.28,8.74,12.02,0,4.37,85.24,1.09,1.09,0,8.74,6.56,6.56,29.51,6.56,6.56
108-118,0,0,9.96,42.13,25.28,6.13,279.58,6.89,7.66,6.89,43.66,484.85,1.53,73.53,5.36,2.3,3.83,904.6,2.3,115.66,0,6.89,12.26,428.17,2.3,5.36,6.13,0,1.53,35.23,1.53,0.77,0,7.66,5.36,3.06,15.32,4.6,3.83
120,1.96,0,15.68,35.28,5.88,1.96,248.89,3.92,7.84,1.96,47.03,384.12,3.92,90.15,1.96,5.88,1.96,658.49,0,78.39,5.88,1.96,7.84,350.8,5.88,1.96,3.92,0,0,29.4,0,0,0,9.8,1.96,3.92,19.6,1.96,3.92
