stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,3,16,0,1,0,0,2,1,1,9,0,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,1.64,0.82,0,0,0,0,0,0.82,0,0,5.75,0.82,0,5.75,105.07,2.46,1.64,9.85,0,1.64,1.64,0.82,109.99,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,5.64,0,0,0.81,0,0,0,0.81,0,0,4.03,0,0,0.81,79.76,0,2.42,4.03,0,4.83,1.61,0,107.96,0,0,0,0,0
 48-58,0,0,0,0.57,0,10.9,0,0,5.16,0,0,0,0,0,0,1.72,0,0,7.46,0,0,1.15,41.31,0.57,0.57,5.74,0,2.3,0.57,0,73.45,0,0,0.57,0,0
 60-70,0,0,0,4.91,0,93.24,0,0.98,5.89,0,0.98,0,0,0,0,8.83,0.98,0,19.63,0,0,0,53.98,0,0.98,10.8,0,2.94,1.96,0,61.84,0.98,0,0.98,0,0
 72-82,0,0,0,6.87,3.93,510.46,1.96,0.98,21.6,1.96,0,0,0,0.98,0,13.74,0,0.98,56.94,0,0,3.93,115.84,0,3.93,29.45,0,1.96,3.93,0,28.47,0,0,2.94,0,0.98
 84-94,1.06,0,0,2.12,5.31,449.24,0,0,6.37,1.06,1.06,0,1.06,0,0,7.43,1.06,0,13.81,0,0,2.12,62.66,1.06,1.06,25.49,0,2.12,6.37,0,16.99,0,1.06,1.06,0,0
 96-106,0,0,0,4.37,3.28,237.15,0,0,7.65,0,0,0,1.09,0,1.09,13.11,0,0,7.65,0,0,0,24.04,0,3.28,27.32,0,4.37,1.09,0,3.28,0,0,0,0,0
108-118,0,0,0,3.06,2.3,209.11,0,0,6.13,0.77,0,0.77,1.53,0,0,10.72,0.77,0,13.02,0,0.77,0,42.13,0,1.53,17.62,0,0.77,2.3,0,1.53,0.77,0.77,0,1.53,0
120,0,0,0,3.92,3.92,246.93,0,0,3.92,0,0,0,1.96,0,0,5.88,0,0,9.8,0,1.96,0,48.99,0,1.96,13.72,0,9.8,3.92,0,1.96,0,0,0,0,0
