stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,12,1,0,3,0,0,1
 24-34,0,0,0,2.46,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82,2.46,0,1.64,13.13,0,11.49,0,15.6,0,0.82,4.1,0,0,0
 36-46,0,0,0,1.61,0,3.22,0,0.81,0,0.81,0,0,0,0.81,0,0,0,2.42,0,1.61,10.47,0.81,23.36,0,24.98,0,0,4.83,0,0,0.81
 48-58,0,0,0,0,0,1.72,0,1.15,0,0,0,1.72,0,0,0,0,0,2.3,0.57,1.15,8.61,0,10.9,0,4.02,0,0,5.16,0,0,0
 60-70,0,0,0,0.98,0,5.89,0.98,0,0.98,2.94,0,0,0.98,0.98,0,0,0,5.89,0,0,4.91,0,24.54,0,11.78,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,6.87,0.98,0,0,0.98,0,0.98,0.98,0,0.98,0.98,0.98,5.89,1.96,0,4.91,0,62.83,0.98,3.93,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,3.19,0,0,0,0,0,0,1.06,0,1.06,0,0,2.12,0,0,3.19,0,50.98,0,5.31,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.37,0,0,0,0,0,0,1.09,1.09,0,1.09,0,3.28,1.09,1.09,3.28,0,84.15,0,26.23,0,0,0,0,0,1.09
108-118,0,0,0.77,6.13,0,4.6,1.53,1.53,0,0.77,1.53,0,0.77,1.53,0,0,0,3.06,1.53,0.77,5.36,0,64.34,0,13.79,0,0,0,0.77,0.77,0
120,0,0,0,3.92,0,1.96,0,0,0,0,1.96,0,0,3.92,0,0,1.96,1.96,0,0,3.92,0,43.12,0,13.72,0,0,0,0,0,0
