stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,5,2,1,0,0,0,2,1,3,3,6,0,0,0,0
 24-34,0,3.28,0,0,0.82,0,1.64,0,0,0,0.82,0,0,3.28,0,0,0,0,4.1,0,0,4.93,15.6,0,0,0.82,0,4.1,0,8.21,2.46,11.49,0,5.75,0,0
 36-46,0,1.61,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,4.03,0.81,0,2.42,0,0,0.81,24.98,0,0,0,0,3.22,0,3.22,0,8.86,0,4.03,0,0
 48-58,0,0,0,0.57,0,0,3.44,0.57,0,1.15,1.15,0,0.57,0,0,4.59,0,0,6.31,1.72,0,1.15,37.87,0,0,1.72,0,2.3,0,1.72,0,7.46,0.57,2.3,0,0
 60-70,0,1.96,0,3.93,0,0,2.94,0,0.98,0.98,0,0,0,0,0.98,8.83,0.98,0,10.8,0,0,0,32.39,0,0,4.91,0,0,0,3.93,0,1.96,0,0,0,0
 72-82,0,1.96,0,0,0,0,1.96,0,0,0.98,4.91,0,2.94,0,0,26.5,0,0,11.78,0.98,0,0,39.27,0,0,3.93,0,0.98,0,2.94,0,2.94,0,3.93,0.98,0
 84-94,0,1.06,0,7.43,0,0,3.19,0,0,1.06,2.12,0,4.25,0,0,35.05,0,1.06,6.37,2.12,2.12,0,27.61,0,1.06,2.12,0,1.06,0,24.43,0,2.12,0,4.25,0,1.06
 96-106,0,1.09,0,6.56,1.09,1.09,2.19,1.09,0,0,7.65,0,0,1.09,0,67.76,0,0,12.02,3.28,0,1.09,33.88,0,0,5.46,0,2.19,0,6.56,0,1.09,0,2.19,1.09,0
108-118,0,1.53,0,8.43,0.77,0,6.89,0,0,0.77,3.83,0.77,0,0,0,50.55,3.06,0,8.43,0.77,0,0,32.94,0,0.77,6.89,0,0,0,10.72,0,0,0,1.53,0,0
120,0,3.92,0,5.88,1.96,0,7.84,0,1.96,0,0,0,0,0,0,37.24,0,0,7.84,1.96,0,3.92,21.56,0,0,7.84,0,0,0,7.84,0,0,0,0,0,0
