stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,42.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,165.61,2.63,0,44.69,0,0,0,5.26,0,0,0,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0,36.8,55.2,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,53.5,31.47,0,0,6.29,0,3.15,6.29,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,6,273,1,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,6,3,0,3,14,2,0,0,0,0,101,1,5,9,2,9,0,0,0,0,0
 24-34,0,0,0,4.1,55.82,0.82,0,1.64,0,0,0,0,0.82,0,0,0,13.13,0,0,1.64,12.31,15.6,4.93,0,5.75,50.89,0.82,0,3.28,0,0.82,105.89,0,0,41.86,0,5.75,0,0,1.64,0,0
 36-46,0,0,0,1.61,12.89,0.81,0,4.03,0,0,0,2.42,0.81,0,0,0,6.45,0,0,0.81,45.12,30.62,2.42,0.81,4.83,128.1,0,0.81,1.61,0,0,50.76,0,0,21.75,0,12.09,0,0,0.81,0,2.42
 48-58,0,0,0,0.57,12.05,0,0,10.33,0,0,0.57,4.59,3.44,0.57,0.57,0,6.89,0.57,0.57,0,57.95,68.86,7.46,0.57,9.75,106.15,0.57,0,1.15,0,0,43.61,0,0,16.07,0,10.9,0,0.57,0.57,0,3.44
 60-70,0,0,0,0,13.74,0,0,23.56,0,1.96,1.96,4.91,9.82,0,0.98,0.98,23.56,0.98,0.98,1.96,29.45,68.71,4.91,0.98,5.89,97.17,0,0,0.98,0,0.98,45.15,0,0,20.61,0,14.72,0,0,1.96,0,9.82
 72-82,0,0,0.98,0.98,40.25,0.98,0,43.19,0.98,2.94,10.8,12.76,17.67,1.96,1.96,1.96,54.97,0,2.94,2.94,47.12,183.57,20.61,2.94,23.56,157.07,0.98,0.98,16.69,0,0.98,102.09,0,0,38.28,0,15.71,0,1.96,4.91,0.98,14.72
 84-94,0,0,0,3.19,104.08,1.06,1.06,32.92,0,12.74,6.37,4.25,30.8,6.37,0,4.25,92.4,1.06,2.12,10.62,72.22,113.64,20.18,3.19,18.05,73.28,1.06,3.19,8.5,0,1.06,211.35,0,0,67.97,0,9.56,2.12,2.12,1.06,2.12,12.74
 96-106,0,0,0,4.37,203.27,3.28,3.28,36.06,0,9.84,14.21,24.04,33.88,0,2.19,5.46,133.33,0,6.56,16.39,57.92,187.97,30.6,4.37,19.67,110.38,1.09,5.46,26.23,0,1.09,183.6,0,0,84.15,0,10.93,1.09,3.28,6.56,4.37,19.67
108-118,0,0,1.53,6.13,176.17,2.3,3.83,55.15,0,13.79,13.02,23.74,66.64,0,0,2.3,108,0.77,1.53,21.45,81.96,183.07,25.28,3.06,21.45,140.17,4.6,4.6,16.09,0,0,161.62,0,0,82.72,0,9.96,2.3,3.06,11.49,0.77,26.04
120,0,0,0,0,135.23,0,1.96,27.44,0,11.76,9.8,29.4,47.03,0,0,1.96,41.16,1.96,0,9.8,37.24,121.51,5.88,3.92,15.68,99.95,3.92,11.76,13.72,0,0,80.35,0,0,56.83,0,5.88,1.96,1.96,7.84,1.96,7.84
