stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1950.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,165.5,2366.04,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,85.81,12.26,0,0,6.13,24.52,0,0,0,0,0,0,0,0,0
  7-9,39.43,31.54,0,36.8,0,0,81.49,0,0,0,0,31.54,0,0,0,0,0,0,0,0,725.52,23.66,0,0,318.07,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,18.88,0,0,88.12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,588.48,18.88,0,0,166.79,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,1,17,1,10,0,0,1,0,0,0,0,0,0,0,2,0,7,89,2,0,1,2,0,12,0,0,8,31,0,0,0,0
 24-34,0,0,0,0,4.1,0.82,22.98,0.82,1.64,0.82,0,0,0.82,0,0,0,0.82,22.16,0,4.93,165.81,0,0.82,2.46,0,9.03,0,0,0.82,0,42.68,0,1.64,0,0
 36-46,0,0,0.81,0,1.61,0.81,26.59,0,0,1.61,0,0,0,0,0,0,0,16.92,0,4.03,95.07,0,0,1.61,0,8.06,0,0,0,0,16.11,0,0,0,0
 48-58,0,0,0,0,0.57,0,39.02,0,0.57,10.33,0,0,0.57,0.57,0.57,0.57,0,10.33,0.57,3.44,78.04,0,0.57,0.57,0,0.57,0,0,0,0,16.64,0,0,0,0
 60-70,0,0,0,0,0.98,0,42.21,0,0,3.93,0.98,0,0.98,0,0,0,0.98,10.8,0.98,0.98,51.04,0,0,1.96,0,4.91,0,0.98,0,0,4.91,0.98,0,0,0
 72-82,0,0,0,0,5.89,0.98,33.38,0.98,0,14.72,0,0,1.96,1.96,0,0,0,26.5,0.98,3.93,67.73,0,0.98,1.96,0,2.94,0,0,0,0,4.91,0,4.91,0,0
 84-94,0,0,0,0,1.06,0,14.87,0,2.12,5.31,0,0,0,0,1.06,0,0,7.43,0,1.06,20.18,0,0,0,0,2.12,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,12.02,0,0,4.37,0,0,0,2.19,0,1.09,0,10.93,0,0,22.95,0,2.19,1.09,0,13.11,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0,1.53,0,3.06,0,0,3.83,0.77,0,0,0.77,0,0,0.77,5.36,0,1.53,14.55,0.77,0.77,0,0,2.3,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,5.88,0,7.84,0,1.96,3.92,1.96,0,0,0,1.96,0,0,5.88,0,3.92,23.52,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0
