stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,34.17,0,2.63,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,25.18,3.15,12.59,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,8,0,0,0,2,3,0
 24-34,0,0,0.82,0,0.82,0,0.82,1.64,0,0,9.85,0,0,0,0,0.82,0.82
 36-46,0,0,1.61,0,0,0,0,1.61,0,0.81,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0,0,1.15,0
 60-70,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
