stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,16,6,0,9,0,0,7,0,0,0,0,0,0,0,0,16,0,0,9,193,4,2,3,7,0,1,17,4,0,26,57,0,0,1,0,1
 24-34,0.82,0,7.39,0,0,18.06,1.64,0,3.28,0,0,0,0.82,0,0,0,0,23.8,0,0,8.21,204.39,0.82,3.28,4.93,0,0,7.39,0,0,0.82,1.64,36.12,0,0,2.46,0,1.64
 36-46,0,0,4.03,0,0,44.31,0.81,1.61,8.06,0,0,0,0,0,0,0,0,26.59,0,0.81,14.5,174.02,1.61,0.81,0,0,0,6.45,0,0.81,0,0,46.73,0,0,1.61,0,0
 48-58,0,0,4.02,0,0,63.12,0,0.57,16.07,0.57,0.57,0,0.57,0,0,0,1.15,27.54,0.57,1.15,4.59,125.66,0,1.15,0,0,0,0.57,0,1.15,0,0,22.95,0,0,2.87,0,0.57
 60-70,0,0,6.87,0,0,66.74,0,0.98,17.67,0.98,0,0.98,0,0.98,2.94,0,0,23.56,0.98,0,6.87,112.88,0.98,0,1.96,0,0,6.87,0,0,0,0,22.58,0,0.98,1.96,0,0
 72-82,0,0,5.89,0,0,51.05,0.98,1.96,18.65,0.98,0.98,0.98,1.96,0,0.98,0.98,0,35.34,0,1.96,7.85,96.2,0,0.98,1.96,0,0.98,3.93,0,0,0,0,9.82,1.96,1.96,0.98,2.94,1.96
 84-94,1.06,1.06,1.06,0,0,20.18,0,2.12,11.68,1.06,0,1.06,3.19,0,0,0,0,27.61,0,2.12,3.19,41.42,1.06,2.12,0,0,0,7.43,0,0,0,0,9.56,0,0,2.12,0,1.06
 96-106,0,0,4.37,0,0,31.69,1.09,0,8.74,2.19,0,1.09,0,1.09,1.09,0,0,17.49,0,2.19,4.37,34.97,0,4.37,0,0,1.09,6.56,0,1.09,0,0,6.56,0,0,6.56,0,0
108-118,0,0,3.83,0.77,0.77,16.85,0,0,5.36,0,0.77,0,1.53,1.53,0,0,0.77,15.32,0,1.53,1.53,49.02,1.53,0,1.53,0,0,6.89,0,0.77,0,0,0,0,0,2.3,3.06,0
120,0,0,3.92,5.88,0,23.52,3.92,1.96,7.84,1.96,0,1.96,0,0,0,0,0,21.56,0,0,5.88,45.08,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,1.96,1.96,0
