stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,1.64,5.75,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,4.83,1.61,0,0.81,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,1.72,0,0,0,1.15,0,10.33,0,0,1.72,0,0,0
 60-70,0,0,0.98,0,0,2.94,0,0.98,14.72,0,0.98,0,2.94,0.98,3.93,0.98,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,0,15.71,0,0.98,0,3.93,0,5.89,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,1.06,1.06,1.06,12.74,0,2.12,0,2.12,0,5.31,1.06,0,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,4.37,0,1.09,0,0,1.09,1.09,0,1.09,0,1.09,0,0
108-118,0,0.77,1.53,0,0,0.77,0,0,4.6,0.77,0.77,0,2.3,0,2.3,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,25.48,0,1.96,0,0,0,0,1.96,5.88,0,0,0,1.96
