stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1159.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,18.39,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,31.54,0,0,21.03,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,286.53,28.92,0,0,194.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,0,78.67,0,9.44,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.32,62.94,0,0,421.69,0,0,3.15,56.65,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,3,3,75,14,45,0,1,0,32,6,0,4,0,0,0,0,0,0,49,0,0,27,683,9,10,24,24,0,0,81,37,1,34,362,0,0,0,0,0
 24-34,0,0,4.1,3.28,22.98,0.82,64.03,0,4.93,4.1,48.43,1.64,0,1.64,0,0,0,4.1,2.46,0.82,73.06,0,1.64,46.79,913.61,7.39,32.83,17.24,0,0.82,4.1,0.82,6.57,0,17.24,288.94,0,0,12.31,0,0.82
 36-46,0,0,1.61,0,7.25,0,109.57,0,0.81,10.47,45.12,1.61,0,0.81,0,0,0,2.42,0,0,107.96,0,1.61,30.62,920.07,5.64,44.31,10.47,0,0,4.83,0.81,8.86,0,0.81,257.01,0,0,7.25,0.81,0
 48-58,0,0,0,0,8.03,0,387.89,0,2.3,6.31,72.3,0,0,2.3,1.15,0,0.57,2.87,1.15,0,161.24,0,2.87,22.38,843.49,4.02,20.66,11.48,0,1.15,2.3,0,1.15,0,0,161.24,0,1.15,4.02,0,1.15
 60-70,0,0,0.98,0,10.8,0,757.73,0.98,1.96,7.85,93.24,1.96,0,0,0.98,0,0,3.93,1.96,0,212.01,0,6.87,11.78,931.46,0.98,19.63,6.87,0,0,2.94,0,0.98,0,0,86.37,0,2.94,1.96,0.98,0.98
 72-82,0,0,9.82,0,12.76,1.96,744.1,0.98,1.96,8.83,108.96,1.96,0,3.93,0.98,0,1.96,8.83,1.96,0,227.75,0.98,8.83,12.76,761.77,1.96,42.21,21.6,0,0,2.94,0,0.98,0.98,0,50.06,0.98,9.82,4.91,5.89,0.98
 84-94,0,0,2.12,0,22.3,1.06,686.08,1.06,4.25,13.81,62.66,8.5,0,2.12,2.12,3.19,0,1.06,0,0,173.11,0,5.31,9.56,373.84,4.25,28.68,15.93,0,1.06,6.37,0,1.06,0,0,35.05,1.06,9.56,6.37,5.31,0
 96-106,0,0,2.19,1.09,20.76,1.09,443.7,0,2.19,9.84,71.04,4.37,0,4.37,4.37,0,1.09,8.74,1.09,0,118.03,0,4.37,10.93,285.23,1.09,34.97,19.67,0,0,5.46,0,2.19,0,0,17.49,1.09,2.19,4.37,7.65,0
108-118,0.77,0,2.3,0.77,14.55,0,289.53,0,3.06,7.66,51.32,3.83,0,1.53,1.53,1.53,0.77,6.89,0.77,0,95.75,0,2.3,4.6,351.58,3.83,29.87,11.49,0,0,2.3,0,2.3,0,0,12.26,0,1.53,3.83,3.06,1.53
120,0,0,0,0,9.8,1.96,221.46,0,1.96,5.88,31.36,0,0,1.96,1.96,0,0,3.92,0,0,64.67,0,0,5.88,303.77,1.96,11.76,5.88,0,1.96,1.96,0,3.92,0,0,5.88,1.96,5.88,3.92,7.84,1.96
