stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,126.18,2.63,0,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,50.35,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,19,4,0,14,0,0,5,0,1,0,0,0,0,0,8,0,0,3,94,5,1,3,0,4,19,1,21,21,0,0,0,0
 24-34,0,0,1.64,2.46,1.64,0,9.85,0,0,2.46,0.82,0,0,0,0.82,0,0.82,7.39,0,0,3.28,98.5,0,0,0,0,8.21,0,0,3.28,21.34,0,0,0,0
 36-46,0,0,0,0.81,0,0,13.7,0,0,0.81,0.81,0,0,0,0,0,0,4.83,0,0,2.42,21.75,1.61,0,0,0,0.81,0,0,0,4.03,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,14.92,0,0,2.87,0,0,0,0,0,0,0,7.46,0,0.57,1.15,22.95,0.57,0,0,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,0.98,0,0,26.5,0,0,8.83,0,0,0,0,0.98,1.96,0,4.91,0,0,0.98,35.33,1.96,0,0,0,0.98,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,7.85,0,0.98,7.85,0,0,0,0,0.98,1.96,0,11.78,0,0,0,15.71,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,0,7.43,0,2.12,3.19,0,0,1.06,0,0,1.06,0,10.62,0,0,0,8.5,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,8.74,2.19,0,17.49,1.09,0,8.74,0,0,1.09,0,1.09,0,0,26.23,0,0,3.28,21.86,1.09,3.28,0,0,1.09,0,0,0,3.28,1.09,0,0,0
108-118,0,0,0,3.83,1.53,0.77,8.43,0,0,4.6,0,0,0,0.77,0,0,0,18.38,0.77,0.77,4.6,16.09,0.77,0.77,0,0.77,3.06,0,0,0,0.77,0,0.77,0.77,0.77
120,1.96,0,0,5.88,3.92,0,7.84,3.92,0,7.84,1.96,0,3.92,0,0,0,0,15.68,0,0,5.88,19.6,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0
