stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,55.17,563.93,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,52.57,0,0,34.17,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,381.16,15.77,0,0,113.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,47.2,0,12.59,53.5,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,443.72,12.59,0,0,182.52,0,3.15,3.15,15.73,0,0,3.15,0,0,0
 14-21,0,1,0,1,44,69,5,0,0,39,2,0,0,0,3,0,0,0,0,25,0,0,15,492,6,6,3,36,1,0,120,7,0,33,322,0,1,0
 24-34,0,0,0,1.64,8.21,4.93,59.1,0,0.82,75.52,0,0.82,0.82,0,3.28,0,0.82,0.82,0,51.71,1.64,0.82,13.13,649.3,0.82,8.21,2.46,0,2.46,0,0,4.93,0.82,18.88,352.15,0,6.57,0
 36-46,0,0,0,0,1.61,0,138.58,0,1.61,37.06,0,0,1.61,0,1.61,0.81,0,0,0,24.17,0,0,3.22,340.8,0.81,5.64,0,0,0.81,0,0,1.61,0.81,0,191.75,0,0,0
 48-58,0,0,0,0,0,0,98.12,0,0.57,25.82,0,0,0,0.57,0.57,0,0,0.57,0.57,31.56,0,1.15,2.3,123.37,0,4.02,0,0,0.57,0,0,1.72,0,0,87.79,0,0,0.57
 60-70,0,0,0,0,0.98,0,81.47,0,0,57.91,0,0,0,1.96,0,0,0,0,0,37.3,1.96,0,0,73.61,0,7.85,0,0,0,0,0,0,0,0,70.67,0,0,0
 72-82,0,0,0,0,0.98,0,41.23,0,2.94,163.94,0.98,0,0,0,0,0,0,0.98,0,36.32,0,0,1.96,72.64,0,10.8,0,0,0,0,0,0.98,0,0,32.39,0.98,0,0
 84-94,0,0,0,1.06,2.12,0,28.68,0,1.06,104.08,0,0,0,0,0,0,1.06,0,0,40.36,0,1.06,0,52.04,0,23.36,0,0,0,0,0,3.19,0,0,38.23,4.25,2.12,0
 96-106,0,0,2.19,0,0,1.09,18.58,0,0,72.13,1.09,0,0,1.09,0,0,1.09,1.09,1.09,29.51,0,0,0,31.69,0,19.67,1.09,0,1.09,0,0,0,0,0,12.02,2.19,0,1.09
108-118,0,0,0,0,5.36,0.77,26.04,0,1.53,71.23,1.53,0,0,1.53,0.77,0.77,0,0.77,0,30.64,0,0.77,0.77,51.32,0,16.09,0,0,0,0,0,1.53,0,0,14.55,0.77,0.77,0
120,0,0,0,0,0,0,9.8,1.96,0,48.99,0,0,0,5.88,1.96,1.96,0,0,0,11.76,0,1.96,0,25.48,0,5.88,0,0,0,0,0,0,0,0,15.68,0,0,0
