stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,1.64,226.56,0,0,0,0,0,0,0,15.6,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,7.25,0,0,0,0,0,0,0,0,0,0,4.03,0,0,903.96,0,0,0,0,0,0,0.81,52.37,0,0,0,0,0.81
 48-58,0,0,0,3.44,0,0,60.82,0.57,0.57,0.57,8.61,0,0,0,0.57,0,0.57,12.05,1.15,2.87,1479.84,0,1.72,1.15,0,1.15,0.57,0,83.78,0,0,0.57,0,0.57
 60-70,0,0,0,4.91,0,0,71.65,0.98,0.98,0,7.85,0,0,0,0,0,0,13.74,0,0.98,1328.98,0,1.96,0,0,0.98,0,0,96.19,0,0,0,0,0.98
 72-82,0,0,1.96,7.85,0.98,0,221.86,0,0.98,4.91,25.52,0.98,0,1.96,2.94,0,1.96,30.43,2.94,5.89,1374.33,1.96,0.98,0,0,0.98,1.96,0,110.93,0.98,0,4.91,1.96,0.98
 84-94,0,0,2.12,10.62,0,0,168.86,0,0,1.06,26.55,2.12,0,2.12,2.12,2.12,0,16.99,3.19,3.19,713.69,0,1.06,2.12,0,0,2.12,0,62.66,3.19,1.06,1.06,0,0
 96-106,0,0,0,19.67,3.28,0,156.28,1.09,0,0,29.51,0,0,0,1.09,0,2.19,17.49,2.19,1.09,629.48,0,2.19,2.19,0,6.56,0,0,22.95,1.09,1.09,0,1.09,1.09
108-118,0,0,0,9.19,2.3,0.77,115.66,0,0,0,19.15,2.3,0,0.77,2.3,0,0,14.55,0.77,1.53,811.92,1.53,0.77,0,0,1.53,0,0,16.85,0,0.77,0.77,0.77,0.77
120,0,0,1.96,11.76,0,0,113.67,0,0,3.92,23.52,1.96,0,1.96,3.92,0,1.96,9.8,0,1.96,625.17,0,0,1.96,0,0,1.96,0,15.68,0,0,0,0,0
