stage,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,0,1,0,0,0
 24-34,1.64,0,0,0,0,0,0,0.82,0,0.82,0,0.82,0,4.93,0,0,0,217.53,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0.81,0,0,0.81,0,0,1.61,0,0.81,4.83,0,0,0,246.53,0,0,0,0,0.81
 48-58,0,0.57,1.72,0.57,0,0,0,0,0,0,1.15,0,0,0.57,0,0,0,127.96,0,0,0,0,0.57
 60-70,0.98,0.98,2.94,1.96,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0,0,118.76,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,107,0.98,0,0,0.98,0
 84-94,1.06,0,1.06,1.06,2.12,0,0,3.19,0,0,0,3.19,0,3.19,0,0,0,334.54,0,0,0,0,0
 96-106,2.19,0,1.09,2.19,0,0,1.09,2.19,0,0,0,1.09,0,5.46,0,0,1.09,274.3,0,0,0,0,1.09
108-118,2.3,0.77,0,3.06,0,0,0,6.13,0.77,0,0,5.36,0,3.06,0.77,0,0,180,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,94.07,0,0,0,0,0
