stage,endocrine_pancreas,epidermis,eye,glial,gut,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,11,0,0,1,14,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,1.64,0,0.82,52.53,1.64,0,0,29.55,0,0,0
 36-46,0,0,9.67,1.61,0,0,0,0,1.61,0,0,132.13,0.81,0,0,23.36,0,1.61,0
 48-58,0,0.57,20.08,4.02,0,0,0,0.57,4.59,0,0.57,133.7,0,0,0,36.72,0,1.72,0.57
 60-70,0,0,86.37,4.91,0,0,0,0,5.89,0,0.98,137.41,0,0,0,28.46,0,0,0
 72-82,0.98,0,76.57,15.71,0,0,0,0,9.82,0,1.96,163.94,0,0,0,12.76,0,0.98,0.98
 84-94,0,0,40.36,5.31,0,0,0,0,10.62,0,0,61.6,0,0,0,6.37,0,1.06,2.12
 96-106,0,0,21.86,2.19,1.09,1.09,0,1.09,4.37,0,0,62.29,0,0,0,2.19,1.09,1.09,1.09
108-118,0.77,1.53,15.32,6.13,0,0,0.77,1.53,7.66,0,1.53,42.89,0,0,0,1.53,0,0,3.06
120,0,0,9.8,5.88,0,0,0,0,3.92,1.96,0,35.28,0,0,0,1.96,0,0,1.96
