stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,465.85,0,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,18.4,0,197.15,0,2.63,10.51,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,236.58,10.51,0,0,604.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,100.7,0,6.29,116.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,947.24,12.59,0,0,607.37,0,6.29,3.15,78.67,0,25.18,3.15,0,0,0,0,0
 14-21,1,0,1,18,1387,120,442,0,15,0,8,50,0,24,0,5,0,0,202,7,0,323,261,7,5,3,52,0,4,156,142,71,618,162,0,0,1,0,0
 24-34,0.82,0,0,0,354.61,2.46,211.78,0,119.02,0,3.28,0.82,0,9.03,0.82,1.64,0.82,0,124.77,4.1,0,107.53,76.34,1.64,2.46,0,0,0,3.28,0,0,4.1,40.22,25.45,0,0,4.93,0,0
 36-46,0,0,2.42,0,51.56,0,87.82,0,144.21,0.81,0.81,0,0,8.86,0,0.81,0,0,57.2,0,0,16.92,36.26,0,0.81,1.61,0,0,1.61,0,0,0,0,10.47,0,0.81,0,0,0
 48-58,0,0,0.57,0,14.92,0,51.64,0.57,141.73,0,2.3,0,0,3.44,0,0.57,0,0.57,37.3,0,0,10.33,20.66,0,0,13.77,0,0,0.57,0,0,0.57,0,5.74,0,0,0,0,0
 60-70,0,0,0,0,6.87,0,20.61,0,73.61,1.96,2.94,0,0,5.89,0,2.94,0,0.98,43.19,0,1.96,4.91,23.56,0,0.98,8.83,0,0.98,0,0,0,0,0,1.96,0.98,4.91,0,1.96,0.98
 72-82,0,0,0,0,7.85,0.98,10.8,0,53.01,0,1.96,0,0,4.91,0,0,0,0,83.44,0,3.93,2.94,10.8,0,0,10.8,0,0.98,0,0,0,0,0,0,0.98,18.65,0,4.91,0
 84-94,0,0,0,0,21.24,0,6.37,0,50.98,0,1.06,0,1.06,2.12,1.06,2.12,0,0,64.78,0,4.25,4.25,7.43,0,0,18.05,0,0,2.12,0,0,0,0,0,0,26.55,0,5.31,0
 96-106,0,0,1.09,0,24.04,0,8.74,0,29.51,0,2.19,1.09,0,7.65,1.09,3.28,0,0,72.13,0,0,0,5.46,0,0,21.86,0,1.09,2.19,0,0,0,0,0,0,19.67,1.09,7.65,1.09
108-118,0,0,0,0,13.79,0,5.36,0,24.51,2.3,3.06,0,0,3.06,0,7.66,0,0,55.15,0,0.77,3.06,10.72,0,0,14.55,0,2.3,0.77,0,0.77,0,0,0,0,8.43,0,0.77,0
120,0,0,0,0,15.68,1.96,5.88,0,13.72,0,0,0,0,1.96,0,1.96,0,0,43.12,1.96,0,0,1.96,0,0,7.84,0,1.96,0,0,0,0,0,0,0,9.8,0,3.92,0
