stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,6.57,0,0,0,0,5.75,1.64,0,0
 36-46,0,0,0,1.61,0,0.81,0,2.42,0,0,0.81,11.28,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,2.87,0,3.44,0,1.15,0.57,0,0,5.16,0,0,0,0,1.72,0.57,0,0
 60-70,0,0,0,1.96,0,1.96,0,1.96,0.98,0,0,2.94,0,0,0,0,6.87,0,0,0
 72-82,1.96,0.98,0,0.98,0.98,28.47,0,1.96,0.98,0,0.98,7.85,0,0,0,0,10.8,0,0,0
 84-94,0,0,0,1.06,0,69.03,0,0,0,0,1.06,6.37,1.06,0,0,1.06,40.36,0,0,0
 96-106,3.28,3.28,1.09,0,1.09,126.77,1.09,0,2.19,0,0,9.84,0,0,0,0,29.51,0,1.09,0
108-118,0,1.53,0,1.53,0,193.02,0,1.53,1.53,0,0,22.98,0,0.77,0,0.77,22.98,0.77,0,0.77
120,0,1.96,1.96,3.92,0,99.95,0,0,1.96,1.96,0,13.72,0,0,0,1.96,13.72,0,0,0
