stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,2,25,8,18,0,0,0,5,3,1,0,2,0,0,0,0,12,0,0,14,233,5,2,4,8,0,2,1,36,2,1,22,85,0,0,0,0,0
 24-34,0,0,1.64,13.95,0.82,43.51,0,2.46,0,7.39,0,0,0,1.64,0,0.82,2.46,0,35.3,0,0,13.13,421.1,0,4.93,2.46,0,0,5.75,0,0,0.82,0,0.82,87.83,0,0,9.03,0,1.64
 36-46,0,0,0,0.81,0.81,63.65,0.81,0,0.81,11.28,0,0.81,0.81,0.81,0,0.81,0,0,33.84,0,0,10.47,329.52,1.61,3.22,0.81,0,0,3.22,0.81,0,0,0,0,61.23,0,0,1.61,0,0
 48-58,0,0,0,5.16,0,102.14,0,0,0,12.62,0,0.57,0,0,1.15,0.57,0,0.57,42.46,0,1.15,7.46,222.06,0,1.72,0,0,0,1.72,0,0,0,0,0,51.07,0,0.57,1.15,0,1.72
 60-70,0,0,0,5.89,0,123.67,0,1.96,0,20.61,0,1.96,0.98,0,0.98,0.98,0,0.98,47.11,0.98,2.94,5.89,218.88,0.98,0,0,0,0,8.83,0,0,0,0,0,37.3,0,0.98,2.94,0,0
 72-82,0,0,0,3.93,0.98,76.57,0.98,0,4.91,26.5,1.96,0.98,0.98,0.98,0,0,1.96,0,41.23,1.96,0,8.83,212.04,0.98,0.98,2.94,0,0.98,4.91,0,0,0,0,0,20.61,0,0.98,7.85,0,0.98
 84-94,0,1.06,0,10.62,0,60.54,2.12,0,2.12,22.3,0,0,1.06,0,2.12,1.06,0,1.06,47.79,2.12,4.25,6.37,112.58,1.06,2.12,0,0,1.06,19.12,0,0,2.12,0,0,7.43,1.06,2.12,3.19,0,0
 96-106,0,0,0,8.74,0,50.27,0,1.09,3.28,22.95,4.37,0,0,0,1.09,2.19,0,1.09,40.44,0,3.28,3.28,76.5,2.19,3.28,6.56,0,1.09,5.46,0,0,0,1.09,0,5.46,1.09,0,5.46,3.28,0
108-118,0,0,0,7.66,3.06,36.77,0,3.83,2.3,16.85,1.53,0,5.36,2.3,0.77,0.77,0,0,31.4,0,1.53,3.83,118.72,0,2.3,3.83,0,0,6.89,0,0,0.77,0,0,5.36,0.77,1.53,3.06,0,0.77
120,0,0,0,17.64,9.8,39.2,0,0,0,19.6,3.92,0,1.96,1.96,0,0,0,3.92,23.52,1.96,3.92,3.92,123.47,0,0,5.88,0,0,13.72,0,0,0,0,0,3.92,0,0,1.96,0,0
