stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,276.74,5178.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,294.22,5007.91,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,140.98,6.13,0,0,24.52,0,73.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,65.72,0,115.66,0,0,0,176.12,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,1987.31,42.06,0,0,659.81,0,15.77,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,84.97,0,6.29,0,110.14,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,641.98,15.73,0,0,320.99,0,12.59,0,3.15,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,29,593,31,0,6,0,8,0,10,19,0,1,0,11,0,0,0,72,2,0,26,101,6,5,12,37,0,125,2,107,16,1,70,87,0,0,14,0,0
 24-34,0,0,0,8.21,173.2,2.46,0,13.13,0,19.7,1.64,11.49,8.21,0,3.28,2.46,18.06,0,2.46,1.64,45.97,10.67,0.82,18.88,123.95,0,13.95,18.06,0,0,274.17,0,0,6.57,0,3.28,61.56,0,0,19.7,0,0
 36-46,0,0,0,0.81,41.09,0,0,5.64,0,18.53,0,6.45,4.83,0,2.42,0,9.67,0,2.42,0.81,43.51,3.22,0.81,12.89,65.26,0,18.53,6.45,0,0,216.73,0,0,4.83,0,0,28.2,0,0,12.89,0,0
 48-58,0,0,0,0,36.72,0,0,9.18,0,20.08,2.87,9.75,2.3,7.46,3.44,1.15,2.3,0,4.59,2.3,60.82,2.3,1.15,6.31,44.76,0.57,7.46,9.18,0,0,149.76,0,0,3.44,0,0,18.36,0,0.57,9.18,0,0
 60-70,0,0,0,0,40.24,0,0,9.82,0,28.46,2.94,1.96,9.82,5.89,1.96,1.96,5.89,0,2.94,0,84.41,1.96,1.96,3.93,29.45,0.98,2.94,3.93,0,0,153.12,0,0,2.94,0,0,1.96,0.98,2.94,7.85,0,0
 72-82,0,0,1.96,0,55.95,0.98,0.98,18.65,0,15.71,0.98,12.76,16.69,3.93,11.78,7.85,13.74,0,10.8,0.98,146.27,7.85,2.94,4.91,40.25,0,21.6,9.82,0,0.98,111.91,0,0,3.93,0,0,6.87,4.91,0.98,18.65,3.93,0
 84-94,0,0,2.12,0,164.62,0,0,18.05,0,65.85,1.06,3.19,44.61,7.43,3.19,15.93,28.68,0,21.24,4.25,107.27,10.62,2.12,0,26.55,0,20.18,5.31,0,0,338.79,0,0,9.56,0,0,0,19.12,2.12,11.68,1.06,1.06
 96-106,0,0,3.28,0,140.98,1.09,0,13.11,0,42.62,0,3.28,59.01,0,7.65,14.21,46.99,0,9.84,5.46,78.68,13.11,1.09,3.28,38.25,0,25.14,8.74,0,2.19,286.33,0,0,2.19,0,0,3.28,22.95,1.09,29.51,1.09,0
108-118,0,0,2.3,0.77,165.45,0,0.77,12.26,0,84.26,2.3,4.6,71.23,0,3.83,14.55,43.66,0.77,10.72,3.83,89.62,7.66,0.77,4.6,40.6,2.3,20.68,10.72,0,0,270.38,0,0,1.53,0.77,0,3.83,16.09,0.77,14.55,2.3,0
120,0,0,3.92,1.96,109.75,1.96,0,5.88,1.96,47.03,0,1.96,39.2,0,3.92,17.64,31.36,0,9.8,1.96,68.59,7.84,0,0,25.48,1.96,15.68,0,0,0,215.58,0,0,5.88,0,0,0,11.76,1.96,23.52,1.96,0
