stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,102,10,0,0,1,0,7,12,0,0,0,0,0,9,1,0,4,14,35,0,70,0,86,2,1,34,159,0,0,0,0
 24-34,0,0,45.15,0,1.64,0,18.06,7.39,15.6,9.03,0,0,0,0,0.82,17.24,0,0,22.16,20.52,13.13,0,0,0,0.82,0,1.64,64.85,109.99,0,1.64,0,0
 36-46,0,0,2.42,0,0.81,0.81,12.09,11.28,8.86,4.83,0,0,0,0,3.22,35.45,0,0,28.2,12.09,2.42,0,0,0,0,0,1.61,0,108.77,0,4.83,0,2.42
 48-58,0,0,4.02,0,1.72,0.57,13.2,16.64,9.18,1.72,0,0,0.57,0.57,4.02,57.95,0,0.57,21.23,22.95,2.87,0.57,0,0,0,0,0.57,0,109.6,0,1.15,0,1.15
 60-70,0,0,0,0,0.98,0,6.87,12.76,11.78,6.87,0,0,0,0,0.98,50.06,0,1.96,5.89,5.89,0,0,0,0,0,0,2.94,0,68.71,0,1.96,0.98,2.94
 72-82,0,0.98,2.94,0,2.94,0,8.83,28.47,31.41,6.87,0,0,0,0,4.91,100.13,0,4.91,13.74,10.8,0.98,0,0,0,0,0,0,0,59.88,0.98,3.93,2.94,3.93
 84-94,0,0,3.19,0,10.62,0,10.62,22.3,22.3,13.81,0,1.06,0,0,2.12,64.78,0,6.37,9.56,3.19,1.06,0,0,0,0,3.19,1.06,0,38.23,0,9.56,3.19,3.19
 96-106,0,2.19,2.19,0,1.09,2.19,9.84,8.74,8.74,8.74,0,2.19,0,0,2.19,60.11,0,4.37,7.65,8.74,2.19,0,0,0,0,0,1.09,0,15.3,0,7.65,3.28,1.09
108-118,0,0.77,2.3,0,1.53,0,7.66,10.72,10.72,11.49,0.77,0,0,0,1.53,43.66,0,1.53,6.13,12.26,0,0.77,0,0.77,0,0,0,0,16.09,0,5.36,2.3,1.53
120,0,0,3.92,0,0,0,5.88,9.8,7.84,9.8,0,0,0,0,0,33.32,0,1.96,1.96,1.96,0,0,0,1.96,0,0,0,0,11.76,0,5.88,0,3.92
