stage,axial,blastomeres,epidermis,eye,glial,gut,hatching_gland,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0
 24-34,0,0,0.82,3.28,0.82,0,0,0,0,0.82,0,0,0.82,18.06,0,0,0,0,1.64,0,0,0,5.75,0,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0.81,0,2.42,6.45,0,0,0,0,0.81,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,3.44,0.57,0,0,0,0,0,3.44,0,0,10.33,0,0,0,0,0.57,0,0,0.57,2.87,0,0,0
 60-70,0,0,0,1.96,2.94,0.98,0,0,0,0,4.91,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,2.94,0,0,0,0,0,0,7.85,0,0,6.87,0,0,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,5.31,4.25,0,0,1.06,1.06,1.06,6.37,0,1.06,6.37,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,1.09,1.09,0,0,0,0,0,6.56,0,0,3.28,0,1.09,0,0,0,1.09,0,0,0,1.09,2.19,0
108-118,0,0,3.06,2.3,2.3,0,0,0,0,0,5.36,0.77,2.3,3.83,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,5.88,7.84,1.96,0,0,0,0,1.96,0,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0
